timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788256800000,417,Login,200,OK,Thread Group 1-1,text,true,,2468,122,1,1,https://example.com/login,292,0,37
1788256800135,540,Search Products,200,OK,Thread Group 1-1,text,true,,2064,186,1,1,https://example.com/search-products,378,0,39
1788256800270,392,View Product,200,OK,Thread Group 1-1,text,true,,2292,200,1,1,https://example.com/view-product,274,0,34
1788256800405,665,Add to Cart,200,OK,Thread Group 1-1,text,true,,1167,175,1,1,https://example.com/add-to-cart,465,0,30
1788256800540,809,Checkout,200,OK,Thread Group 1-1,text,true,,1876,228,1,1,https://example.com/checkout,566,0,17
1788256800675,150,Logout,200,OK,Thread Group 1-1,text,true,,1802,146,1,1,https://example.com/logout,105,0,29
1788256801000,375,Login,200,OK,Thread Group 1-2,text,true,,2340,159,2,2,https://example.com/login,262,0,21
1788256801135,439,Search Products,200,OK,Thread Group 1-2,text,true,,1813,167,2,2,https://example.com/search-products,307,0,25
1788256801270,417,View Product,200,OK,Thread Group 1-2,text,true,,2824,121,2,2,https://example.com/view-product,292,0,48
1788256801405,546,Add to Cart,200,OK,Thread Group 1-2,text,true,,1022,200,2,2,https://example.com/add-to-cart,382,0,22
1788256801540,929,Checkout,200,OK,Thread Group 1-2,text,true,,998,94,2,2,https://example.com/checkout,650,0,47
1788256801675,148,Logout,200,OK,Thread Group 1-2,text,true,,1465,219,2,2,https://example.com/logout,104,0,35
1788256802000,356,Login,200,OK,Thread Group 1-3,text,true,,2910,207,3,3,https://example.com/login,249,0,20
1788256802135,577,Search Products,200,OK,Thread Group 1-3,text,true,,2580,170,3,3,https://example.com/search-products,404,0,21
1788256802270,479,View Product,200,OK,Thread Group 1-3,text,true,,830,140,3,3,https://example.com/view-product,335,0,42
1788256802405,763,Add to Cart,200,OK,Thread Group 1-3,text,true,,1491,128,3,3,https://example.com/add-to-cart,534,0,31
1788256802540,843,Checkout,200,OK,Thread Group 1-3,text,true,,822,210,3,3,https://example.com/checkout,590,0,45
1788256802675,269,Logout,200,OK,Thread Group 1-3,text,true,,1290,187,3,3,https://example.com/logout,188,0,31
1788256803000,366,Login,200,OK,Thread Group 1-4,text,true,,2455,120,4,4,https://example.com/login,256,0,24
1788256803135,409,Search Products,200,OK,Thread Group 1-4,text,true,,1156,199,4,4,https://example.com/search-products,286,0,29
1788256803270,538,View Product,200,OK,Thread Group 1-4,text,true,,2474,126,4,4,https://example.com/view-product,377,0,13
1788256803405,579,Add to Cart,200,OK,Thread Group 1-4,text,true,,2555,224,4,4,https://example.com/add-to-cart,405,0,31
1788256803540,928,Checkout,200,OK,Thread Group 1-4,text,true,,2204,185,4,4,https://example.com/checkout,650,0,46
1788256803675,142,Logout,200,OK,Thread Group 1-4,text,true,,1433,157,4,4,https://example.com/logout,99,0,19
1788256804000,256,Login,200,OK,Thread Group 1-5,text,true,,2012,181,5,5,https://example.com/login,179,0,20
1788256804135,534,Search Products,200,OK,Thread Group 1-5,text,true,,1007,103,5,5,https://example.com/search-products,374,0,18
1788256804270,422,View Product,200,OK,Thread Group 1-5,text,true,,1626,225,5,5,https://example.com/view-product,295,0,39
1788256804405,944,Add to Cart,200,OK,Thread Group 1-5,text,true,,1049,121,5,5,https://example.com/add-to-cart,661,0,15
1788256804540,1062,Checkout,200,OK,Thread Group 1-5,text,true,,1386,113,5,5,https://example.com/checkout,743,0,40
1788256804675,228,Logout,200,OK,Thread Group 1-5,text,true,,1798,232,5,5,https://example.com/logout,160,0,13
1788256805000,323,Login,200,OK,Thread Group 1-6,text,true,,1775,81,6,6,https://example.com/login,226,0,50
1788256805135,716,Search Products,200,OK,Thread Group 1-6,text,true,,2305,239,6,6,https://example.com/search-products,501,0,11
1788256805270,334,View Product,200,OK,Thread Group 1-6,text,true,,2312,222,6,6,https://example.com/view-product,234,0,38
1788256805405,962,Add to Cart,200,OK,Thread Group 1-6,text,true,,1702,101,6,6,https://example.com/add-to-cart,673,0,26
1788256805540,1017,Checkout,200,OK,Thread Group 1-6,text,true,,2145,195,6,6,https://example.com/checkout,712,0,40
1788256805675,285,Logout,200,OK,Thread Group 1-6,text,true,,795,134,6,6,https://example.com/logout,200,0,34
1788256806000,312,Login,200,OK,Thread Group 1-7,text,true,,945,92,7,7,https://example.com/login,218,0,40
1788256806135,518,Search Products,200,OK,Thread Group 1-7,text,true,,2693,134,7,7,https://example.com/search-products,363,0,27
1788256806270,457,View Product,200,OK,Thread Group 1-7,text,true,,2940,100,7,7,https://example.com/view-product,320,0,21
1788256806405,657,Add to Cart,200,OK,Thread Group 1-7,text,true,,1432,171,7,7,https://example.com/add-to-cart,460,0,42
1788256806540,1002,Checkout,200,OK,Thread Group 1-7,text,true,,1934,233,7,7,https://example.com/checkout,701,0,34
1788256806675,152,Logout,200,OK,Thread Group 1-7,text,true,,982,127,7,7,https://example.com/logout,106,0,32
1788256807000,352,Login,200,OK,Thread Group 1-8,text,true,,1170,123,8,8,https://example.com/login,246,0,49
1788256807135,255,Search Products,200,OK,Thread Group 1-8,text,true,,2127,137,8,8,https://example.com/search-products,178,0,41
1788256807270,525,View Product,200,OK,Thread Group 1-8,text,true,,708,111,8,8,https://example.com/view-product,368,0,23
1788256807405,597,Add to Cart,200,OK,Thread Group 1-8,text,true,,1590,124,8,8,https://example.com/add-to-cart,418,0,15
1788256807540,888,Checkout,200,OK,Thread Group 1-8,text,true,,1128,94,8,8,https://example.com/checkout,622,0,27
1788256807675,237,Logout,200,OK,Thread Group 1-8,text,true,,2799,190,8,8,https://example.com/logout,166,0,15
1788256808000,264,Login,200,OK,Thread Group 1-9,text,true,,796,102,9,9,https://example.com/login,185,0,25
1788256808135,761,Search Products,200,OK,Thread Group 1-9,text,true,,2343,178,9,9,https://example.com/search-products,533,0,21
1788256808270,363,View Product,200,OK,Thread Group 1-9,text,true,,973,177,9,9,https://example.com/view-product,254,0,47
1788256808405,310,Add to Cart,200,OK,Thread Group 1-9,text,true,,2963,215,9,9,https://example.com/add-to-cart,217,0,15
1788256808540,1462,Checkout,200,OK,Thread Group 1-9,text,true,,1399,105,9,9,https://example.com/checkout,1023,0,29
1788256808675,272,Logout,200,OK,Thread Group 1-9,text,true,,1044,219,9,9,https://example.com/logout,190,0,41
1788256809000,317,Login,200,OK,Thread Group 1-10,text,true,,2505,113,10,10,https://example.com/login,222,0,14
1788256809135,803,Search Products,200,OK,Thread Group 1-10,text,true,,2720,145,10,10,https://example.com/search-products,562,0,33
1788256809270,478,View Product,200,OK,Thread Group 1-10,text,true,,863,101,10,10,https://example.com/view-product,335,0,48
1788256809405,476,Add to Cart,200,OK,Thread Group 1-10,text,true,,998,178,10,10,https://example.com/add-to-cart,333,0,47
1788256809540,1047,Checkout,200,OK,Thread Group 1-10,text,true,,2961,230,10,10,https://example.com/checkout,733,0,26
1788256809675,230,Logout,200,OK,Thread Group 1-10,text,true,,885,169,10,10,https://example.com/logout,161,0,23
1788256810000,452,Login,200,OK,Thread Group 1-11,text,true,,880,122,11,11,https://example.com/login,316,0,42
1788256810135,561,Search Products,200,OK,Thread Group 1-11,text,true,,1978,229,11,11,https://example.com/search-products,393,0,30
1788256810270,552,View Product,200,OK,Thread Group 1-11,text,true,,2093,159,11,11,https://example.com/view-product,386,0,34
1788256810405,741,Add to Cart,200,OK,Thread Group 1-11,text,true,,1324,155,11,11,https://example.com/add-to-cart,519,0,31
1788256810540,1370,Checkout,200,OK,Thread Group 1-11,text,true,,2401,178,11,11,https://example.com/checkout,959,0,33
1788256810675,266,Logout,200,OK,Thread Group 1-11,text,true,,1175,87,11,11,https://example.com/logout,186,0,10
1788256811000,278,Login,200,OK,Thread Group 1-12,text,true,,1331,174,12,12,https://example.com/login,195,0,24
1788256811135,459,Search Products,200,OK,Thread Group 1-12,text,true,,1082,211,12,12,https://example.com/search-products,321,0,28
1788256811270,536,View Product,200,OK,Thread Group 1-12,text,true,,2153,164,12,12,https://example.com/view-product,375,0,25
1788256811405,683,Add to Cart,200,OK,Thread Group 1-12,text,true,,1344,106,12,12,https://example.com/add-to-cart,478,0,15
1788256811540,656,Checkout,200,OK,Thread Group 1-12,text,true,,2361,206,12,12,https://example.com/checkout,459,0,12
1788256811675,271,Logout,200,OK,Thread Group 1-12,text,true,,769,183,12,12,https://example.com/logout,190,0,45
1788256812000,307,Login,200,OK,Thread Group 1-13,text,true,,2722,94,13,13,https://example.com/login,215,0,39
1788256812135,476,Search Products,200,OK,Thread Group 1-13,text,true,,1034,197,13,13,https://example.com/search-products,333,0,34
1788256812270,460,View Product,200,OK,Thread Group 1-13,text,true,,2080,142,13,13,https://example.com/view-product,322,0,29
1788256812405,924,Add to Cart,200,OK,Thread Group 1-13,text,true,,1906,124,13,13,https://example.com/add-to-cart,647,0,16
1788256812540,756,Checkout,200,OK,Thread Group 1-13,text,true,,2452,204,13,13,https://example.com/checkout,529,0,44
