timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788429600000,618,Login,200,OK,Thread Group 1-1,text,true,,1218,157,1,1,https://example.com/login,433,0,46
1788429600135,772,Search Products,200,OK,Thread Group 1-1,text,true,,798,217,1,1,https://example.com/search-products,540,0,32
1788429600270,1133,View Product,200,OK,Thread Group 1-1,text,true,,2201,154,1,1,https://example.com/view-product,793,0,29
1788429600405,808,Add to Cart,200,OK,Thread Group 1-1,text,true,,767,129,1,1,https://example.com/add-to-cart,566,0,12
1788429600540,6048,Checkout,200,OK,Thread Group 1-1,text,true,,817,123,1,1,https://example.com/checkout,4234,0,21
1788429600675,290,Logout,200,OK,Thread Group 1-1,text,true,,2586,113,1,1,https://example.com/logout,203,0,24
1788429601000,594,Login,200,OK,Thread Group 1-2,text,true,,2121,213,2,2,https://example.com/login,416,0,13
1788429601135,646,Search Products,200,OK,Thread Group 1-2,text,true,,1522,103,2,2,https://example.com/search-products,452,0,39
1788429601270,1674,View Product,200,OK,Thread Group 1-2,text,true,,726,116,2,2,https://example.com/view-product,1172,0,31
1788429601405,888,Add to Cart,200,OK,Thread Group 1-2,text,true,,1314,199,2,2,https://example.com/add-to-cart,622,0,18
1788429601540,4669,Checkout,200,OK,Thread Group 1-2,text,true,,2102,119,2,2,https://example.com/checkout,3268,0,17
1788429601675,337,Logout,200,OK,Thread Group 1-2,text,true,,868,231,2,2,https://example.com/logout,236,0,25
1788429602000,388,Login,200,OK,Thread Group 1-3,text,true,,1188,195,3,3,https://example.com/login,272,0,28
1788429602135,527,Search Products,200,OK,Thread Group 1-3,text,true,,1090,223,3,3,https://example.com/search-products,369,0,33
1788429602270,1270,View Product,200,OK,Thread Group 1-3,text,true,,1914,85,3,3,https://example.com/view-product,889,0,19
1788429602405,928,Add to Cart,200,OK,Thread Group 1-3,text,true,,2166,113,3,3,https://example.com/add-to-cart,650,0,50
1788429602540,4470,Checkout,200,OK,Thread Group 1-3,text,true,,1280,197,3,3,https://example.com/checkout,3129,0,47
1788429602675,371,Logout,200,OK,Thread Group 1-3,text,true,,2318,116,3,3,https://example.com/logout,260,0,35
1788429603000,388,Login,200,OK,Thread Group 1-4,text,true,,1235,108,4,4,https://example.com/login,272,0,13
1788429603135,986,Search Products,200,OK,Thread Group 1-4,text,true,,2805,204,4,4,https://example.com/search-products,690,0,29
1788429603270,639,View Product,200,OK,Thread Group 1-4,text,true,,1740,192,4,4,https://example.com/view-product,447,0,16
