timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788516000000,620,Login,200,OK,Thread Group 1-1,text,true,,2019,110,1,1,https://example.com/login,434,0,36
1788516000135,2205,Search Products,500,Synthetic server error,Thread Group 1-1,text,false,Synthetic failure,1598,81,1,1,https://example.com/search-products,1544,0,40
1788516000270,1025,View Product,200,OK,Thread Group 1-1,text,true,,2831,164,1,1,https://example.com/view-product,718,0,42
1788516000405,768,Add to Cart,200,OK,Thread Group 1-1,text,true,,792,82,1,1,https://example.com/add-to-cart,538,0,31
1788516000540,1129,Checkout,200,OK,Thread Group 1-1,text,true,,1713,96,1,1,https://example.com/checkout,790,0,10
1788516000675,426,Logout,200,OK,Thread Group 1-1,text,true,,2450,139,1,1,https://example.com/logout,298,0,47
1788516001000,667,Login,200,OK,Thread Group 1-2,text,true,,2655,97,2,2,https://example.com/login,467,0,42
1788516001135,2819,Search Products,200,OK,Thread Group 1-2,text,true,,2624,114,2,2,https://example.com/search-products,1973,0,14
1788516001270,464,View Product,200,OK,Thread Group 1-2,text,true,,1537,88,2,2,https://example.com/view-product,325,0,36
1788516001405,1026,Add to Cart,200,OK,Thread Group 1-2,text,true,,2829,81,2,2,https://example.com/add-to-cart,718,0,32
1788516001540,1761,Checkout,200,OK,Thread Group 1-2,text,true,,1532,138,2,2,https://example.com/checkout,1233,0,14
1788516001675,383,Logout,200,OK,Thread Group 1-2,text,true,,2706,144,2,2,https://example.com/logout,268,0,12
1788516002000,718,Login,200,OK,Thread Group 1-3,text,true,,2699,100,3,3,https://example.com/login,503,0,37
1788516002135,4738,Search Products,200,OK,Thread Group 1-3,text,true,,2460,86,3,3,https://example.com/search-products,3317,0,17
1788516002270,566,View Product,200,OK,Thread Group 1-3,text,true,,2028,155,3,3,https://example.com/view-product,396,0,20
1788516002405,1479,Add to Cart,200,OK,Thread Group 1-3,text,true,,2803,230,3,3,https://example.com/add-to-cart,1035,0,17
1788516002540,1412,Checkout,200,OK,Thread Group 1-3,text,true,,2513,226,3,3,https://example.com/checkout,988,0,29
1788516002675,427,Logout,200,OK,Thread Group 1-3,text,true,,913,230,3,3,https://example.com/logout,299,0,36
1788516003000,533,Login,200,OK,Thread Group 1-4,text,true,,2539,85,4,4,https://example.com/login,373,0,21
1788516003135,5003,Search Products,200,OK,Thread Group 1-4,text,true,,1979,158,4,4,https://example.com/search-products,3502,0,25
1788516003270,774,View Product,200,OK,Thread Group 1-4,text,true,,2776,145,4,4,https://example.com/view-product,542,0,22
1788516003405,1429,Add to Cart,200,OK,Thread Group 1-4,text,true,,894,163,4,4,https://example.com/add-to-cart,1000,0,24
1788516003540,1839,Checkout,200,OK,Thread Group 1-4,text,true,,1877,226,4,4,https://example.com/checkout,1287,0,19
1788516003675,386,Logout,200,OK,Thread Group 1-4,text,true,,1674,193,4,4,https://example.com/logout,270,0,21
1788516004000,517,Login,200,OK,Thread Group 1-5,text,true,,1243,126,5,5,https://example.com/login,362,0,36
1788516004135,2670,Search Products,200,OK,Thread Group 1-5,text,true,,2360,190,5,5,https://example.com/search-products,1869,0,13
1788516004270,473,View Product,500,Synthetic server error,Thread Group 1-5,text,false,Synthetic failure,1483,93,5,5,https://example.com/view-product,331,0,36
1788516004405,743,Add to Cart,200,OK,Thread Group 1-5,text,true,,1932,93,5,5,https://example.com/add-to-cart,520,0,28
1788516004540,1440,Checkout,200,OK,Thread Group 1-5,text,true,,2981,124,5,5,https://example.com/checkout,1008,0,34
1788516004675,322,Logout,200,OK,Thread Group 1-5,text,true,,1232,120,5,5,https://example.com/logout,225,0,10
1788516005000,800,Login,200,OK,Thread Group 1-6,text,true,,1640,115,6,6,https://example.com/login,560,0,37
1788516005135,3265,Search Products,200,OK,Thread Group 1-6,text,true,,1149,157,6,6,https://example.com/search-products,2286,0,35
1788516005270,702,View Product,200,OK,Thread Group 1-6,text,true,,1092,121,6,6,https://example.com/view-product,491,0,40
1788516005405,687,Add to Cart,200,OK,Thread Group 1-6,text,true,,718,210,6,6,https://example.com/add-to-cart,481,0,25
1788516005540,1434,Checkout,200,OK,Thread Group 1-6,text,true,,1026,113,6,6,https://example.com/checkout,1004,0,23
1788516005675,375,Logout,200,OK,Thread Group 1-6,text,true,,2537,150,6,6,https://example.com/logout,262,0,41
1788516006000,678,Login,200,OK,Thread Group 1-7,text,true,,1919,97,7,7,https://example.com/login,475,0,29
1788516006135,2127,Search Products,200,OK,Thread Group 1-7,text,true,,2303,87,7,7,https://example.com/search-products,1489,0,23
1788516006270,550,View Product,200,OK,Thread Group 1-7,text,true,,1387,222,7,7,https://example.com/view-product,385,0,25
1788516006405,924,Add to Cart,200,OK,Thread Group 1-7,text,true,,1320,154,7,7,https://example.com/add-to-cart,647,0,34
1788516006540,1017,Checkout,200,OK,Thread Group 1-7,text,true,,1854,120,7,7,https://example.com/checkout,712,0,38
1788516006675,629,Logout,200,OK,Thread Group 1-7,text,true,,1949,103,7,7,https://example.com/logout,440,0,50
1788516007000,379,Login,200,OK,Thread Group 1-8,text,true,,2390,127,8,8,https://example.com/login,265,0,14
1788516007135,1941,Search Products,200,OK,Thread Group 1-8,text,true,,2065,162,8,8,https://example.com/search-products,1359,0,29
1788516007270,576,View Product,200,OK,Thread Group 1-8,text,true,,847,190,8,8,https://example.com/view-product,403,0,12
1788516007405,663,Add to Cart,200,OK,Thread Group 1-8,text,true,,731,239,8,8,https://example.com/add-to-cart,464,0,45
