timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788688800000,711,Login,200,OK,Thread Group 1-1,text,true,,1364,134,1,1,https://example.com/login,498,0,44
1788688800135,628,Search Products,200,OK,Thread Group 1-1,text,true,,2321,143,1,1,https://example.com/search-products,440,0,47
1788688800270,830,View Product,200,OK,Thread Group 1-1,text,true,,1044,81,1,1,https://example.com/view-product,581,0,44
1788688800405,497,Add to Cart,200,OK,Thread Group 1-1,text,true,,1350,119,1,1,https://example.com/add-to-cart,348,0,46
1788688800540,1263,Checkout,200,OK,Thread Group 1-1,text,true,,2891,193,1,1,https://example.com/checkout,884,0,40
1788688800675,254,Logout,200,OK,Thread Group 1-1,text,true,,945,109,1,1,https://example.com/logout,178,0,18
1788688801000,795,Login,200,OK,Thread Group 1-2,text,true,,2675,206,2,2,https://example.com/login,556,0,17
1788688801135,964,Search Products,200,OK,Thread Group 1-2,text,true,,2994,174,2,2,https://example.com/search-products,675,0,31
1788688801270,754,View Product,200,OK,Thread Group 1-2,text,true,,969,237,2,2,https://example.com/view-product,528,0,37
1788688801405,528,Add to Cart,200,OK,Thread Group 1-2,text,true,,2620,189,2,2,https://example.com/add-to-cart,370,0,28
1788688801540,1452,Checkout,200,OK,Thread Group 1-2,text,true,,972,149,2,2,https://example.com/checkout,1016,0,38
1788688801675,359,Logout,200,OK,Thread Group 1-2,text,true,,1350,189,2,2,https://example.com/logout,251,0,49
1788688802000,286,Login,200,OK,Thread Group 1-3,text,true,,1661,97,3,3,https://example.com/login,200,0,24
1788688802135,1242,Search Products,200,OK,Thread Group 1-3,text,true,,2666,230,3,3,https://example.com/search-products,869,0,49
1788688802270,409,View Product,200,OK,Thread Group 1-3,text,true,,2068,98,3,3,https://example.com/view-product,286,0,18
1788688802405,976,Add to Cart,200,OK,Thread Group 1-3,text,true,,2872,195,3,3,https://example.com/add-to-cart,683,0,33
