timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788775200000,720,Login,200,OK,Thread Group 1-1,text,true,,1225,87,1,1,https://example.com/login,504,0,23
1788775200135,2297,Search Products,200,OK,Thread Group 1-1,text,true,,1743,115,1,1,https://example.com/search-products,1608,0,37
1788775200270,1178,View Product,200,OK,Thread Group 1-1,text,true,,2793,127,1,1,https://example.com/view-product,825,0,31
1788775200405,1666,Add to Cart,200,OK,Thread Group 1-1,text,true,,2261,168,1,1,https://example.com/add-to-cart,1166,0,12
1788775200540,1917,Checkout,200,OK,Thread Group 1-1,text,true,,1222,123,1,1,https://example.com/checkout,1342,0,14
1788775200675,920,Logout,500,Synthetic server error,Thread Group 1-1,text,false,Synthetic failure,965,86,1,1,https://example.com/logout,644,0,13
1788775201000,1143,Login,200,OK,Thread Group 1-2,text,true,,850,128,2,2,https://example.com/login,800,0,49
1788775201135,1935,Search Products,200,OK,Thread Group 1-2,text,true,,2164,102,2,2,https://example.com/search-products,1354,0,16
1788775201270,1514,View Product,200,OK,Thread Group 1-2,text,true,,1966,180,2,2,https://example.com/view-product,1060,0,24
1788775201405,913,Add to Cart,200,OK,Thread Group 1-2,text,true,,1142,109,2,2,https://example.com/add-to-cart,639,0,23
1788775201540,2534,Checkout,200,OK,Thread Group 1-2,text,true,,1926,96,2,2,https://example.com/checkout,1774,0,14
1788775201675,455,Logout,200,OK,Thread Group 1-2,text,true,,2627,197,2,2,https://example.com/logout,318,0,43
1788775202000,1017,Login,200,OK,Thread Group 1-3,text,true,,1479,182,3,3,https://example.com/login,712,0,45
1788775202135,1850,Search Products,200,OK,Thread Group 1-3,text,true,,2401,105,3,3,https://example.com/search-products,1295,0,30
1788775202270,883,View Product,200,OK,Thread Group 1-3,text,true,,2128,187,3,3,https://example.com/view-product,618,0,46
1788775202405,953,Add to Cart,200,OK,Thread Group 1-3,text,true,,1149,115,3,3,https://example.com/add-to-cart,667,0,21
1788775202540,2310,Checkout,200,OK,Thread Group 1-3,text,true,,970,204,3,3,https://example.com/checkout,1617,0,24
1788775202675,473,Logout,200,OK,Thread Group 1-3,text,true,,2395,102,3,3,https://example.com/logout,331,0,30
1788775203000,1044,Login,200,OK,Thread Group 1-4,text,true,,1644,223,4,4,https://example.com/login,731,0,29
1788775203135,1136,Search Products,200,OK,Thread Group 1-4,text,true,,1549,202,4,4,https://example.com/search-products,795,0,49
1788775203270,2020,View Product,200,OK,Thread Group 1-4,text,true,,2636,107,4,4,https://example.com/view-product,1414,0,43
1788775203405,960,Add to Cart,200,OK,Thread Group 1-4,text,true,,2267,189,4,4,https://example.com/add-to-cart,672,0,46
1788775203540,3481,Checkout,200,OK,Thread Group 1-4,text,true,,1892,143,4,4,https://example.com/checkout,2437,0,33
1788775203675,876,Logout,200,OK,Thread Group 1-4,text,true,,940,125,4,4,https://example.com/logout,613,0,25
1788775204000,882,Login,200,OK,Thread Group 1-5,text,true,,1454,155,5,5,https://example.com/login,617,0,42
1788775204135,1257,Search Products,200,OK,Thread Group 1-5,text,true,,2654,91,5,5,https://example.com/search-products,880,0,35
1788775204270,1000,View Product,200,OK,Thread Group 1-5,text,true,,1527,177,5,5,https://example.com/view-product,700,0,34
1788775204405,1766,Add to Cart,200,OK,Thread Group 1-5,text,true,,2983,187,5,5,https://example.com/add-to-cart,1236,0,18
1788775204540,3358,Checkout,200,OK,Thread Group 1-5,text,true,,2028,168,5,5,https://example.com/checkout,2351,0,31
1788775204675,378,Logout,200,OK,Thread Group 1-5,text,true,,2969,134,5,5,https://example.com/logout,265,0,30
1788775205000,1014,Login,200,OK,Thread Group 1-6,text,true,,2217,185,6,6,https://example.com/login,710,0,31
1788775205135,1523,Search Products,200,OK,Thread Group 1-6,text,true,,1866,122,6,6,https://example.com/search-products,1066,0,18
1788775205270,1494,View Product,200,OK,Thread Group 1-6,text,true,,2351,108,6,6,https://example.com/view-product,1046,0,31
1788775205405,1999,Add to Cart,200,OK,Thread Group 1-6,text,true,,1486,138,6,6,https://example.com/add-to-cart,1399,0,45
1788775205540,6380,Checkout,200,OK,Thread Group 1-6,text,true,,2713,114,6,6,https://example.com/checkout,4466,0,41
1788775205675,833,Logout,200,OK,Thread Group 1-6,text,true,,2400,104,6,6,https://example.com/logout,583,0,35
1788775206000,1270,Login,200,OK,Thread Group 1-7,text,true,,1117,90,7,7,https://example.com/login,889,0,37
1788775206135,1611,Search Products,200,OK,Thread Group 1-7,text,true,,1712,99,7,7,https://example.com/search-products,1128,0,23
1788775206270,1529,View Product,200,OK,Thread Group 1-7,text,true,,959,150,7,7,https://example.com/view-product,1070,0,37
1788775206405,1424,Add to Cart,200,OK,Thread Group 1-7,text,true,,2465,144,7,7,https://example.com/add-to-cart,997,0,16
1788775206540,2408,Checkout,200,OK,Thread Group 1-7,text,true,,921,168,7,7,https://example.com/checkout,1686,0,14
1788775206675,688,Logout,200,OK,Thread Group 1-7,text,true,,880,106,7,7,https://example.com/logout,482,0,46
1788775207000,742,Login,200,OK,Thread Group 1-8,text,true,,2340,185,8,8,https://example.com/login,519,0,42
1788775207135,1224,Search Products,200,OK,Thread Group 1-8,text,true,,1548,142,8,8,https://example.com/search-products,857,0,50
1788775207270,1006,View Product,200,OK,Thread Group 1-8,text,true,,2378,115,8,8,https://example.com/view-product,704,0,23
1788775207405,1411,Add to Cart,200,OK,Thread Group 1-8,text,true,,785,194,8,8,https://example.com/add-to-cart,988,0,42
1788775207540,2570,Checkout,200,OK,Thread Group 1-8,text,true,,871,135,8,8,https://example.com/checkout,1799,0,25
1788775207675,407,Logout,200,OK,Thread Group 1-8,text,true,,2240,200,8,8,https://example.com/logout,285,0,41
1788775208000,1239,Login,200,OK,Thread Group 1-9,text,true,,2568,80,9,9,https://example.com/login,867,0,25
1788775208135,2408,Search Products,200,OK,Thread Group 1-9,text,true,,912,115,9,9,https://example.com/search-products,1686,0,46
1788775208270,2588,View Product,200,OK,Thread Group 1-9,text,true,,1594,103,9,9,https://example.com/view-product,1812,0,35
1788775208405,1807,Add to Cart,200,OK,Thread Group 1-9,text,true,,2042,147,9,9,https://example.com/add-to-cart,1265,0,10
1788775208540,3275,Checkout,200,OK,Thread Group 1-9,text,true,,976,159,9,9,https://example.com/checkout,2292,0,37
1788775208675,458,Logout,200,OK,Thread Group 1-9,text,true,,2910,104,9,9,https://example.com/logout,321,0,11
1788775209000,764,Login,200,OK,Thread Group 1-10,text,true,,913,201,10,10,https://example.com/login,535,0,21
1788775209135,2366,Search Products,200,OK,Thread Group 1-10,text,true,,2527,224,10,10,https://example.com/search-products,1656,0,10
1788775209270,986,View Product,200,OK,Thread Group 1-10,text,true,,859,180,10,10,https://example.com/view-product,690,0,16
1788775209405,3768,Add to Cart,200,OK,Thread Group 1-10,text,true,,2239,144,10,10,https://example.com/add-to-cart,2638,0,41
1788775209540,2859,Checkout,200,OK,Thread Group 1-10,text,true,,849,225,10,10,https://example.com/checkout,2001,0,15
1788775209675,753,Logout,200,OK,Thread Group 1-10,text,true,,767,143,10,10,https://example.com/logout,527,0,19
1788775210000,1031,Login,200,OK,Thread Group 1-11,text,true,,2549,217,11,11,https://example.com/login,722,0,28
1788775210135,1127,Search Products,200,OK,Thread Group 1-11,text,true,,2618,188,11,11,https://example.com/search-products,789,0,36
1788775210270,1483,View Product,200,OK,Thread Group 1-11,text,true,,1799,224,11,11,https://example.com/view-product,1038,0,32
1788775210405,3428,Add to Cart,200,OK,Thread Group 1-11,text,true,,2516,193,11,11,https://example.com/add-to-cart,2400,0,50
1788775210540,2802,Checkout,500,Synthetic server error,Thread Group 1-11,text,false,Synthetic failure,2440,95,11,11,https://example.com/checkout,1961,0,34
1788775210675,721,Logout,200,OK,Thread Group 1-11,text,true,,2559,161,11,11,https://example.com/logout,505,0,16
1788775211000,1866,Login,200,OK,Thread Group 1-12,text,true,,1757,122,12,12,https://example.com/login,1306,0,16
1788775211135,1599,Search Products,200,OK,Thread Group 1-12,text,true,,1082,137,12,12,https://example.com/search-products,1119,0,12
1788775211270,1764,View Product,200,OK,Thread Group 1-12,text,true,,2741,87,12,12,https://example.com/view-product,1235,0,13
1788775211405,1113,Add to Cart,200,OK,Thread Group 1-12,text,true,,752,234,12,12,https://example.com/add-to-cart,779,0,21
1788775211540,2150,Checkout,500,Synthetic server error,Thread Group 1-12,text,false,Synthetic failure,1695,200,12,12,https://example.com/checkout,1505,0,11
1788775211675,624,Logout,200,OK,Thread Group 1-12,text,true,,1725,153,12,12,https://example.com/logout,437,0,37
1788775212000,1027,Login,200,OK,Thread Group 1-13,text,true,,2894,217,13,13,https://example.com/login,719,0,50
1788775212135,2876,Search Products,200,OK,Thread Group 1-13,text,true,,2591,114,13,13,https://example.com/search-products,2013,0,19
1788775212270,1142,View Product,500,Synthetic server error,Thread Group 1-13,text,false,Synthetic failure,1228,196,13,13,https://example.com/view-product,799,0,49
1788775212405,1991,Add to Cart,200,OK,Thread Group 1-13,text,true,,2986,154,13,13,https://example.com/add-to-cart,1394,0,18
1788775212540,1442,Checkout,200,OK,Thread Group 1-13,text,true,,2761,110,13,13,https://example.com/checkout,1009,0,14
1788775212675,390,Logout,200,OK,Thread Group 1-13,text,true,,2495,109,13,13,https://example.com/logout,273,0,40
1788775213000,650,Login,200,OK,Thread Group 1-14,text,true,,797,94,14,14,https://example.com/login,455,0,30
1788775213135,1267,Search Products,200,OK,Thread Group 1-14,text,true,,2046,179,14,14,https://example.com/search-products,887,0,46
1788775213270,1896,View Product,200,OK,Thread Group 1-14,text,true,,2943,85,14,14,https://example.com/view-product,1327,0,18
1788775213405,1748,Add to Cart,200,OK,Thread Group 1-14,text,true,,1628,204,14,14,https://example.com/add-to-cart,1224,0,20
1788775213540,4997,Checkout,200,OK,Thread Group 1-14,text,true,,803,117,14,14,https://example.com/checkout,3498,0,30
1788775213675,680,Logout,200,OK,Thread Group 1-14,text,true,,2850,220,14,14,https://example.com/logout,476,0,28
1788775214000,1231,Login,200,OK,Thread Group 1-15,text,true,,2593,111,15,15,https://example.com/login,862,0,38
1788775214135,837,Search Products,200,OK,Thread Group 1-15,text,true,,1096,130,15,15,https://example.com/search-products,586,0,19
1788775214270,1054,View Product,200,OK,Thread Group 1-15,text,true,,2481,149,15,15,https://example.com/view-product,738,0,30
1788775214405,2092,Add to Cart,200,OK,Thread Group 1-15,text,true,,1191,228,15,15,https://example.com/add-to-cart,1464,0,41
1788775214540,2073,Checkout,200,OK,Thread Group 1-15,text,true,,2403,199,15,15,https://example.com/checkout,1451,0,18
1788775214675,578,Logout,200,OK,Thread Group 1-15,text,true,,1211,227,15,15,https://example.com/logout,405,0,31
1788775215000,1048,Login,200,OK,Thread Group 1-16,text,true,,1978,207,16,16,https://example.com/login,734,0,30
1788775215135,2104,Search Products,200,OK,Thread Group 1-16,text,true,,1980,216,16,16,https://example.com/search-products,1473,0,35
1788775215270,1381,View Product,200,OK,Thread Group 1-16,text,true,,780,101,16,16,https://example.com/view-product,967,0,16
1788775215405,2310,Add to Cart,200,OK,Thread Group 1-16,text,true,,1148,220,16,16,https://example.com/add-to-cart,1617,0,19
1788775215540,2953,Checkout,200,OK,Thread Group 1-16,text,true,,1997,165,16,16,https://example.com/checkout,2067,0,49
1788775215675,949,Logout,200,OK,Thread Group 1-16,text,true,,1597,212,16,16,https://example.com/logout,664,0,10
1788775216000,2079,Login,200,OK,Thread Group 1-17,text,true,,1031,130,17,17,https://example.com/login,1455,0,26
1788775216135,1625,Search Products,200,OK,Thread Group 1-17,text,true,,2160,132,17,17,https://example.com/search-products,1138,0,12
1788775216270,898,View Product,200,OK,Thread Group 1-17,text,true,,2933,159,17,17,https://example.com/view-product,629,0,15
1788775216405,1977,Add to Cart,200,OK,Thread Group 1-17,text,true,,1626,128,17,17,https://example.com/add-to-cart,1384,0,43
1788775216540,3344,Checkout,200,OK,Thread Group 1-17,text,true,,736,81,17,17,https://example.com/checkout,2341,0,30
1788775216675,917,Logout,200,OK,Thread Group 1-17,text,true,,2921,163,17,17,https://example.com/logout,642,0,11
1788775217000,1569,Login,200,OK,Thread Group 1-18,text,true,,1563,224,18,18,https://example.com/login,1098,0,14
1788775217135,852,Search Products,200,OK,Thread Group 1-18,text,true,,1333,216,18,18,https://example.com/search-products,596,0,15
1788775217270,1092,View Product,200,OK,Thread Group 1-18,text,true,,2522,81,18,18,https://example.com/view-product,764,0,28
1788775217405,2007,Add to Cart,200,OK,Thread Group 1-18,text,true,,1553,219,18,18,https://example.com/add-to-cart,1405,0,50
1788775217540,2597,Checkout,200,OK,Thread Group 1-18,text,true,,2475,98,18,18,https://example.com/checkout,1818,0,25
1788775217675,1017,Logout,500,Synthetic server error,Thread Group 1-18,text,false,Synthetic failure,1239,173,18,18,https://example.com/logout,712,0,30
1788775218000,1360,Login,200,OK,Thread Group 1-19,text,true,,987,190,19,19,https://example.com/login,952,0,11
1788775218135,1202,Search Products,200,OK,Thread Group 1-19,text,true,,1081,124,19,19,https://example.com/search-products,841,0,49
1788775218270,986,View Product,200,OK,Thread Group 1-19,text,true,,2553,113,19,19,https://example.com/view-product,690,0,39
1788775218405,2042,Add to Cart,200,OK,Thread Group 1-19,text,true,,892,126,19,19,https://example.com/add-to-cart,1429,0,23
1788775218540,1631,Checkout,200,OK,Thread Group 1-19,text,true,,1392,141,19,19,https://example.com/checkout,1142,0,38
1788775218675,551,Logout,200,OK,Thread Group 1-19,text,true,,1166,160,19,19,https://example.com/logout,386,0,23
1788775219000,793,Login,200,OK,Thread Group 1-20,text,true,,1222,189,20,20,https://example.com/login,555,0,20
1788775219135,2690,Search Products,200,OK,Thread Group 1-20,text,true,,1173,103,20,20,https://example.com/search-products,1883,0,20
1788775219270,1745,View Product,200,OK,Thread Group 1-20,text,true,,2233,239,20,20,https://example.com/view-product,1222,0,22
1788775219405,2772,Add to Cart,200,OK,Thread Group 1-20,text,true,,2262,187,20,20,https://example.com/add-to-cart,1940,0,28
1788775219540,2808,Checkout,200,OK,Thread Group 1-20,text,true,,2702,134,20,20,https://example.com/checkout,1966,0,12
1788775219675,503,Logout,200,OK,Thread Group 1-20,text,true,,935,231,20,20,https://example.com/logout,352,0,34
1788775220000,536,Login,200,OK,Thread Group 1-1,text,true,,1734,131,20,20,https://example.com/login,375,0,12
1788775220135,1078,Search Products,500,Synthetic server error,Thread Group 1-1,text,false,Synthetic failure,748,139,20,20,https://example.com/search-products,755,0,40
1788775220270,990,View Product,200,OK,Thread Group 1-1,text,true,,2455,211,20,20,https://example.com/view-product,693,0,16
1788775220405,1030,Add to Cart,200,OK,Thread Group 1-1,text,true,,2136,235,20,20,https://example.com/add-to-cart,721,0,24
1788775220540,2671,Checkout,200,OK,Thread Group 1-1,text,true,,1332,116,20,20,https://example.com/checkout,1870,0,34
1788775220675,801,Logout,200,OK,Thread Group 1-1,text,true,,2938,234,20,20,https://example.com/logout,561,0,18
1788775221000,955,Login,200,OK,Thread Group 1-2,text,true,,1062,199,20,20,https://example.com/login,668,0,29
1788775221135,1881,Search Products,200,OK,Thread Group 1-2,text,true,,2421,112,20,20,https://example.com/search-products,1317,0,40
1788775221270,1153,View Product,200,OK,Thread Group 1-2,text,true,,2717,143,20,20,https://example.com/view-product,807,0,32
1788775221405,2220,Add to Cart,200,OK,Thread Group 1-2,text,true,,1435,200,20,20,https://example.com/add-to-cart,1554,0,27
1788775221540,1711,Checkout,200,OK,Thread Group 1-2,text,true,,2322,221,20,20,https://example.com/checkout,1198,0,12
1788775221675,645,Logout,200,OK,Thread Group 1-2,text,true,,2133,132,20,20,https://example.com/logout,451,0,49
1788775222000,656,Login,500,Synthetic server error,Thread Group 1-3,text,false,Synthetic failure,2258,210,20,20,https://example.com/login,459,0,18
1788775222135,765,Search Products,200,OK,Thread Group 1-3,text,true,,2490,222,20,20,https://example.com/search-products,536,0,39
