timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788948000000,481,Login,200,OK,Thread Group 1-1,text,true,,2320,166,1,1,https://example.com/login,337,0,50
1788948000135,630,Search Products,200,OK,Thread Group 1-1,text,true,,1031,194,1,1,https://example.com/search-products,441,0,21
1788948000270,611,View Product,200,OK,Thread Group 1-1,text,true,,1951,150,1,1,https://example.com/view-product,428,0,35
1788948000405,1157,Add to Cart,200,OK,Thread Group 1-1,text,true,,2017,163,1,1,https://example.com/add-to-cart,810,0,27
1788948000540,4535,Checkout,500,Synthetic server error,Thread Group 1-1,text,false,Synthetic failure,2517,158,1,1,https://example.com/checkout,3174,0,23
1788948000675,573,Logout,200,OK,Thread Group 1-1,text,true,,1276,138,1,1,https://example.com/logout,401,0,39
1788948001000,637,Login,200,OK,Thread Group 1-2,text,true,,844,124,2,2,https://example.com/login,446,0,40
1788948001135,1927,Search Products,200,OK,Thread Group 1-2,text,true,,2453,187,2,2,https://example.com/search-products,1349,0,36
1788948001270,753,View Product,200,OK,Thread Group 1-2,text,true,,2643,116,2,2,https://example.com/view-product,527,0,17
1788948001405,861,Add to Cart,200,OK,Thread Group 1-2,text,true,,2560,135,2,2,https://example.com/add-to-cart,603,0,36
1788948001540,2365,Checkout,200,OK,Thread Group 1-2,text,true,,1996,132,2,2,https://example.com/checkout,1656,0,40
1788948001675,313,Logout,200,OK,Thread Group 1-2,text,true,,750,114,2,2,https://example.com/logout,219,0,14
1788948002000,586,Login,200,OK,Thread Group 1-3,text,true,,1984,110,3,3,https://example.com/login,410,0,12
1788948002135,733,Search Products,200,OK,Thread Group 1-3,text,true,,1728,133,3,3,https://example.com/search-products,513,0,32
1788948002270,633,View Product,200,OK,Thread Group 1-3,text,true,,926,121,3,3,https://example.com/view-product,443,0,29
1788948002405,891,Add to Cart,200,OK,Thread Group 1-3,text,true,,2333,234,3,3,https://example.com/add-to-cart,624,0,41
1788948002540,1233,Checkout,200,OK,Thread Group 1-3,text,true,,2205,105,3,3,https://example.com/checkout,863,0,50
1788948002675,288,Logout,200,OK,Thread Group 1-3,text,true,,2344,106,3,3,https://example.com/logout,202,0,47
1788948003000,514,Login,200,OK,Thread Group 1-4,text,true,,1611,227,4,4,https://example.com/login,360,0,34
1788948003135,1060,Search Products,200,OK,Thread Group 1-4,text,true,,2207,182,4,4,https://example.com/search-products,742,0,10
1788948003270,1623,View Product,200,OK,Thread Group 1-4,text,true,,2120,106,4,4,https://example.com/view-product,1136,0,12
1788948003405,715,Add to Cart,200,OK,Thread Group 1-4,text,true,,2097,200,4,4,https://example.com/add-to-cart,500,0,49
1788948003540,4893,Checkout,200,OK,Thread Group 1-4,text,true,,2061,145,4,4,https://example.com/checkout,3425,0,13
1788948003675,301,Logout,200,OK,Thread Group 1-4,text,true,,2014,207,4,4,https://example.com/logout,211,0,38
1788948004000,394,Login,200,OK,Thread Group 1-5,text,true,,2073,130,5,5,https://example.com/login,276,0,34
1788948004135,1121,Search Products,200,OK,Thread Group 1-5,text,true,,2782,130,5,5,https://example.com/search-products,785,0,42
1788948004270,870,View Product,200,OK,Thread Group 1-5,text,true,,2404,146,5,5,https://example.com/view-product,609,0,48
1788948004405,1676,Add to Cart,200,OK,Thread Group 1-5,text,true,,2186,111,5,5,https://example.com/add-to-cart,1173,0,40
1788948004540,3051,Checkout,500,Synthetic server error,Thread Group 1-5,text,false,Synthetic failure,1717,163,5,5,https://example.com/checkout,2136,0,38
1788948004675,476,Logout,200,OK,Thread Group 1-5,text,true,,2731,159,5,5,https://example.com/logout,333,0,39
1788948005000,512,Login,200,OK,Thread Group 1-6,text,true,,2698,97,6,6,https://example.com/login,358,0,36
1788948005135,706,Search Products,200,OK,Thread Group 1-6,text,true,,2508,212,6,6,https://example.com/search-products,494,0,23
1788948005270,957,View Product,200,OK,Thread Group 1-6,text,true,,2212,102,6,6,https://example.com/view-product,670,0,23
1788948005405,2839,Add to Cart,200,OK,Thread Group 1-6,text,true,,1298,172,6,6,https://example.com/add-to-cart,1987,0,44
1788948005540,3478,Checkout,200,OK,Thread Group 1-6,text,true,,2774,133,6,6,https://example.com/checkout,2435,0,11
1788948005675,353,Logout,200,OK,Thread Group 1-6,text,true,,2401,97,6,6,https://example.com/logout,247,0,24
1788948006000,659,Login,200,OK,Thread Group 1-7,text,true,,1658,99,7,7,https://example.com/login,461,0,41
1788948006135,1100,Search Products,200,OK,Thread Group 1-7,text,true,,777,104,7,7,https://example.com/search-products,770,0,25
1788948006270,578,View Product,200,OK,Thread Group 1-7,text,true,,1911,144,7,7,https://example.com/view-product,405,0,47
1788948006405,534,Add to Cart,200,OK,Thread Group 1-7,text,true,,2442,212,7,7,https://example.com/add-to-cart,374,0,45
1788948006540,1567,Checkout,200,OK,Thread Group 1-7,text,true,,2434,227,7,7,https://example.com/checkout,1097,0,16
1788948006675,578,Logout,200,OK,Thread Group 1-7,text,true,,1356,237,7,7,https://example.com/logout,405,0,16
1788948007000,661,Login,200,OK,Thread Group 1-8,text,true,,2035,185,8,8,https://example.com/login,463,0,43
1788948007135,1531,Search Products,200,OK,Thread Group 1-8,text,true,,843,175,8,8,https://example.com/search-products,1072,0,29
1788948007270,602,View Product,200,OK,Thread Group 1-8,text,true,,2700,215,8,8,https://example.com/view-product,421,0,23
1788948007405,698,Add to Cart,200,OK,Thread Group 1-8,text,true,,2973,86,8,8,https://example.com/add-to-cart,489,0,39
1788948007540,2286,Checkout,200,OK,Thread Group 1-8,text,true,,775,233,8,8,https://example.com/checkout,1600,0,28
1788948007675,528,Logout,200,OK,Thread Group 1-8,text,true,,2151,119,8,8,https://example.com/logout,370,0,35
1788948008000,387,Login,200,OK,Thread Group 1-9,text,true,,1045,239,9,9,https://example.com/login,271,0,39
1788948008135,932,Search Products,500,Synthetic server error,Thread Group 1-9,text,false,Synthetic failure,1079,172,9,9,https://example.com/search-products,652,0,31
1788948008270,945,View Product,200,OK,Thread Group 1-9,text,true,,1423,136,9,9,https://example.com/view-product,662,0,27
1788948008405,1536,Add to Cart,200,OK,Thread Group 1-9,text,true,,2166,114,9,9,https://example.com/add-to-cart,1075,0,23
1788948008540,3090,Checkout,200,OK,Thread Group 1-9,text,true,,1791,194,9,9,https://example.com/checkout,2163,0,17
1788948008675,435,Logout,200,OK,Thread Group 1-9,text,true,,1513,180,9,9,https://example.com/logout,304,0,41
1788948009000,675,Login,200,OK,Thread Group 1-10,text,true,,1377,177,10,10,https://example.com/login,472,0,31
1788948009135,1294,Search Products,200,OK,Thread Group 1-10,text,true,,1777,114,10,10,https://example.com/search-products,906,0,10
1788948009270,507,View Product,200,OK,Thread Group 1-10,text,true,,1096,168,10,10,https://example.com/view-product,355,0,25
1788948009405,647,Add to Cart,200,OK,Thread Group 1-10,text,true,,714,166,10,10,https://example.com/add-to-cart,453,0,33
1788948009540,3763,Checkout,200,OK,Thread Group 1-10,text,true,,2653,93,10,10,https://example.com/checkout,2634,0,26
1788948009675,363,Logout,200,OK,Thread Group 1-10,text,true,,1299,144,10,10,https://example.com/logout,254,0,13
1788948010000,467,Login,200,OK,Thread Group 1-11,text,true,,2710,104,11,11,https://example.com/login,327,0,13
1788948010135,588,Search Products,200,OK,Thread Group 1-11,text,true,,755,148,11,11,https://example.com/search-products,412,0,50
1788948010270,908,View Product,200,OK,Thread Group 1-11,text,true,,1366,211,11,11,https://example.com/view-product,636,0,15
1788948010405,807,Add to Cart,200,OK,Thread Group 1-11,text,true,,2428,163,11,11,https://example.com/add-to-cart,565,0,29
1788948010540,6846,Checkout,200,OK,Thread Group 1-11,text,true,,2869,201,11,11,https://example.com/checkout,4792,0,29
1788948010675,708,Logout,200,OK,Thread Group 1-11,text,true,,1655,199,11,11,https://example.com/logout,496,0,50
1788948011000,414,Login,200,OK,Thread Group 1-12,text,true,,872,149,12,12,https://example.com/login,290,0,12
1788948011135,1276,Search Products,200,OK,Thread Group 1-12,text,true,,2425,205,12,12,https://example.com/search-products,893,0,29
1788948011270,845,View Product,500,Synthetic server error,Thread Group 1-12,text,false,Synthetic failure,2213,121,12,12,https://example.com/view-product,592,0,29
