timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1789034400000,607,Login,200,OK,Thread Group 1-1,text,true,,2436,215,1,1,https://example.com/login,425,0,48
1789034400135,554,Search Products,200,OK,Thread Group 1-1,text,true,,2891,91,1,1,https://example.com/search-products,388,0,16
1789034400270,619,View Product,200,OK,Thread Group 1-1,text,true,,1129,170,1,1,https://example.com/view-product,433,0,26
1789034400405,908,Add to Cart,200,OK,Thread Group 1-1,text,true,,787,88,1,1,https://example.com/add-to-cart,636,0,44
1789034400540,609,Checkout,200,OK,Thread Group 1-1,text,true,,2387,112,1,1,https://example.com/checkout,426,0,41
1789034400675,159,Logout,200,OK,Thread Group 1-1,text,true,,2463,186,1,1,https://example.com/logout,111,0,49
1789034401000,188,Login,200,OK,Thread Group 1-2,text,true,,2481,188,2,2,https://example.com/login,132,0,23
1789034401135,637,Search Products,200,OK,Thread Group 1-2,text,true,,2776,157,2,2,https://example.com/search-products,446,0,41
1789034401270,316,View Product,200,OK,Thread Group 1-2,text,true,,1195,84,2,2,https://example.com/view-product,221,0,32
1789034401405,835,Add to Cart,200,OK,Thread Group 1-2,text,true,,1130,177,2,2,https://example.com/add-to-cart,584,0,46
1789034401540,1457,Checkout,200,OK,Thread Group 1-2,text,true,,835,187,2,2,https://example.com/checkout,1020,0,22
1789034401675,229,Logout,200,OK,Thread Group 1-2,text,true,,2665,98,2,2,https://example.com/logout,160,0,19
1789034402000,453,Login,200,OK,Thread Group 1-3,text,true,,2171,161,3,3,https://example.com/login,317,0,30
1789034402135,419,Search Products,200,OK,Thread Group 1-3,text,true,,1262,112,3,3,https://example.com/search-products,293,0,17
1789034402270,417,View Product,200,OK,Thread Group 1-3,text,true,,1049,123,3,3,https://example.com/view-product,292,0,23
1789034402405,495,Add to Cart,200,OK,Thread Group 1-3,text,true,,704,220,3,3,https://example.com/add-to-cart,346,0,29
1789034402540,1014,Checkout,200,OK,Thread Group 1-3,text,true,,1638,206,3,3,https://example.com/checkout,710,0,25
1789034402675,278,Logout,200,OK,Thread Group 1-3,text,true,,1322,83,3,3,https://example.com/logout,195,0,35
1789034403000,281,Login,200,OK,Thread Group 1-4,text,true,,861,177,4,4,https://example.com/login,197,0,13
1789034403135,728,Search Products,200,OK,Thread Group 1-4,text,true,,905,181,4,4,https://example.com/search-products,510,0,15
1789034403270,927,View Product,200,OK,Thread Group 1-4,text,true,,847,164,4,4,https://example.com/view-product,649,0,26
1789034403405,749,Add to Cart,200,OK,Thread Group 1-4,text,true,,900,147,4,4,https://example.com/add-to-cart,524,0,47
1789034403540,823,Checkout,200,OK,Thread Group 1-4,text,true,,2823,161,4,4,https://example.com/checkout,576,0,49
1789034403675,151,Logout,200,OK,Thread Group 1-4,text,true,,1734,222,4,4,https://example.com/logout,106,0,40
1789034404000,483,Login,200,OK,Thread Group 1-5,text,true,,2458,189,5,5,https://example.com/login,338,0,28
1789034404135,515,Search Products,200,OK,Thread Group 1-5,text,true,,2092,172,5,5,https://example.com/search-products,360,0,26
1789034404270,343,View Product,200,OK,Thread Group 1-5,text,true,,1178,145,5,5,https://example.com/view-product,240,0,28
1789034404405,339,Add to Cart,200,OK,Thread Group 1-5,text,true,,1269,128,5,5,https://example.com/add-to-cart,237,0,28
1789034404540,989,Checkout,200,OK,Thread Group 1-5,text,true,,2791,132,5,5,https://example.com/checkout,692,0,31
1789034404675,517,Logout,200,OK,Thread Group 1-5,text,true,,2582,105,5,5,https://example.com/logout,362,0,17
1789034405000,259,Login,200,OK,Thread Group 1-6,text,true,,2428,154,6,6,https://example.com/login,181,0,38
1789034405135,675,Search Products,200,OK,Thread Group 1-6,text,true,,1570,222,6,6,https://example.com/search-products,472,0,37
1789034405270,612,View Product,200,OK,Thread Group 1-6,text,true,,985,183,6,6,https://example.com/view-product,428,0,46
1789034405405,755,Add to Cart,200,OK,Thread Group 1-6,text,true,,1716,214,6,6,https://example.com/add-to-cart,528,0,12
1789034405540,588,Checkout,200,OK,Thread Group 1-6,text,true,,1548,197,6,6,https://example.com/checkout,412,0,24
1789034405675,242,Logout,200,OK,Thread Group 1-6,text,true,,2159,211,6,6,https://example.com/logout,169,0,15
1789034406000,354,Login,200,OK,Thread Group 1-7,text,true,,1806,188,7,7,https://example.com/login,248,0,31
1789034406135,469,Search Products,200,OK,Thread Group 1-7,text,true,,1971,234,7,7,https://example.com/search-products,328,0,29
1789034406270,601,View Product,200,OK,Thread Group 1-7,text,true,,2407,194,7,7,https://example.com/view-product,421,0,25
1789034406405,860,Add to Cart,200,OK,Thread Group 1-7,text,true,,1867,207,7,7,https://example.com/add-to-cart,602,0,24
1789034406540,878,Checkout,200,OK,Thread Group 1-7,text,true,,852,84,7,7,https://example.com/checkout,615,0,39
1789034406675,252,Logout,200,OK,Thread Group 1-7,text,true,,773,97,7,7,https://example.com/logout,176,0,11
1789034407000,284,Login,200,OK,Thread Group 1-8,text,true,,2705,161,8,8,https://example.com/login,199,0,43
1789034407135,361,Search Products,200,OK,Thread Group 1-8,text,true,,1322,204,8,8,https://example.com/search-products,253,0,29
1789034407270,828,View Product,200,OK,Thread Group 1-8,text,true,,1548,202,8,8,https://example.com/view-product,580,0,10
1789034407405,391,Add to Cart,200,OK,Thread Group 1-8,text,true,,928,198,8,8,https://example.com/add-to-cart,274,0,15
1789034407540,845,Checkout,200,OK,Thread Group 1-8,text,true,,1313,219,8,8,https://example.com/checkout,592,0,49
1789034407675,209,Logout,200,OK,Thread Group 1-8,text,true,,2867,152,8,8,https://example.com/logout,146,0,22
1789034408000,285,Login,200,OK,Thread Group 1-9,text,true,,940,124,9,9,https://example.com/login,200,0,13
1789034408135,587,Search Products,200,OK,Thread Group 1-9,text,true,,1823,238,9,9,https://example.com/search-products,411,0,20
1789034408270,669,View Product,200,OK,Thread Group 1-9,text,true,,916,206,9,9,https://example.com/view-product,468,0,27
1789034408405,550,Add to Cart,200,OK,Thread Group 1-9,text,true,,1259,91,9,9,https://example.com/add-to-cart,385,0,33
1789034408540,1156,Checkout,200,OK,Thread Group 1-9,text,true,,1974,96,9,9,https://example.com/checkout,809,0,28
1789034408675,243,Logout,200,OK,Thread Group 1-9,text,true,,2268,170,9,9,https://example.com/logout,170,0,24
1789034409000,384,Login,200,OK,Thread Group 1-10,text,true,,1741,123,10,10,https://example.com/login,269,0,48
1789034409135,842,Search Products,200,OK,Thread Group 1-10,text,true,,1632,109,10,10,https://example.com/search-products,589,0,14
1789034409270,501,View Product,200,OK,Thread Group 1-10,text,true,,720,135,10,10,https://example.com/view-product,351,0,47
1789034409405,630,Add to Cart,200,OK,Thread Group 1-10,text,true,,2911,180,10,10,https://example.com/add-to-cart,441,0,16
1789034409540,699,Checkout,200,OK,Thread Group 1-10,text,true,,2823,93,10,10,https://example.com/checkout,489,0,37
1789034409675,249,Logout,200,OK,Thread Group 1-10,text,true,,1184,107,10,10,https://example.com/logout,174,0,27
1789034410000,287,Login,200,OK,Thread Group 1-11,text,true,,1387,156,11,11,https://example.com/login,201,0,35
1789034410135,770,Search Products,200,OK,Thread Group 1-11,text,true,,1988,136,11,11,https://example.com/search-products,539,0,39
1789034410270,350,View Product,200,OK,Thread Group 1-11,text,true,,756,205,11,11,https://example.com/view-product,245,0,44
1789034410405,601,Add to Cart,200,OK,Thread Group 1-11,text,true,,2305,175,11,11,https://example.com/add-to-cart,421,0,27
1789034410540,939,Checkout,200,OK,Thread Group 1-11,text,true,,921,138,11,11,https://example.com/checkout,657,0,23
1789034410675,419,Logout,200,OK,Thread Group 1-11,text,true,,1130,81,11,11,https://example.com/logout,293,0,30
1789034411000,561,Login,200,OK,Thread Group 1-12,text,true,,1531,108,12,12,https://example.com/login,393,0,21
1789034411135,389,Search Products,200,OK,Thread Group 1-12,text,true,,864,228,12,12,https://example.com/search-products,272,0,14
1789034411270,408,View Product,200,OK,Thread Group 1-12,text,true,,2358,117,12,12,https://example.com/view-product,286,0,43
1789034411405,1057,Add to Cart,200,OK,Thread Group 1-12,text,true,,1398,85,12,12,https://example.com/add-to-cart,740,0,24
1789034411540,636,Checkout,200,OK,Thread Group 1-12,text,true,,1363,130,12,12,https://example.com/checkout,445,0,49
1789034411675,197,Logout,200,OK,Thread Group 1-12,text,true,,877,195,12,12,https://example.com/logout,138,0,48
1789034412000,452,Login,200,OK,Thread Group 1-13,text,true,,1117,136,13,13,https://example.com/login,316,0,32
1789034412135,611,Search Products,200,OK,Thread Group 1-13,text,true,,2352,111,13,13,https://example.com/search-products,428,0,23
1789034412270,406,View Product,200,OK,Thread Group 1-13,text,true,,2812,236,13,13,https://example.com/view-product,284,0,14
1789034412405,773,Add to Cart,200,OK,Thread Group 1-13,text,true,,2668,210,13,13,https://example.com/add-to-cart,541,0,17
1789034412540,1145,Checkout,200,OK,Thread Group 1-13,text,true,,2796,94,13,13,https://example.com/checkout,802,0,28
1789034412675,167,Logout,200,OK,Thread Group 1-13,text,true,,2520,83,13,13,https://example.com/logout,117,0,50
1789034413000,970,Login,200,OK,Thread Group 1-14,text,true,,852,216,14,14,https://example.com/login,679,0,24
1789034413135,447,Search Products,200,OK,Thread Group 1-14,text,true,,777,192,14,14,https://example.com/search-products,313,0,11
1789034413270,553,View Product,200,OK,Thread Group 1-14,text,true,,2405,190,14,14,https://example.com/view-product,387,0,22
1789034413405,397,Add to Cart,200,OK,Thread Group 1-14,text,true,,1575,207,14,14,https://example.com/add-to-cart,278,0,13
1789034413540,874,Checkout,200,OK,Thread Group 1-14,text,true,,2715,106,14,14,https://example.com/checkout,612,0,17
1789034413675,299,Logout,200,OK,Thread Group 1-14,text,true,,1909,118,14,14,https://example.com/logout,209,0,29
1789034414000,204,Login,200,OK,Thread Group 1-15,text,true,,2490,188,15,15,https://example.com/login,143,0,16
1789034414135,808,Search Products,200,OK,Thread Group 1-15,text,true,,1332,226,15,15,https://example.com/search-products,566,0,30
1789034414270,424,View Product,200,OK,Thread Group 1-15,text,true,,1742,147,15,15,https://example.com/view-product,297,0,11
1789034414405,567,Add to Cart,200,OK,Thread Group 1-15,text,true,,2969,226,15,15,https://example.com/add-to-cart,397,0,25
1789034414540,1192,Checkout,200,OK,Thread Group 1-15,text,true,,1593,215,15,15,https://example.com/checkout,834,0,26
1789034414675,223,Logout,200,OK,Thread Group 1-15,text,true,,1152,169,15,15,https://example.com/logout,156,0,45
1789034415000,484,Login,200,OK,Thread Group 1-16,text,true,,2155,230,16,16,https://example.com/login,339,0,20
1789034415135,506,Search Products,200,OK,Thread Group 1-16,text,true,,751,174,16,16,https://example.com/search-products,354,0,29
1789034415270,587,View Product,200,OK,Thread Group 1-16,text,true,,1643,200,16,16,https://example.com/view-product,411,0,27
1789034415405,693,Add to Cart,200,OK,Thread Group 1-16,text,true,,2895,148,16,16,https://example.com/add-to-cart,485,0,26
1789034415540,1111,Checkout,200,OK,Thread Group 1-16,text,true,,1923,210,16,16,https://example.com/checkout,778,0,40
1789034415675,350,Logout,200,OK,Thread Group 1-16,text,true,,1524,152,16,16,https://example.com/logout,245,0,48
1789034416000,357,Login,200,OK,Thread Group 1-17,text,true,,1720,183,17,17,https://example.com/login,250,0,49
1789034416135,575,Search Products,200,OK,Thread Group 1-17,text,true,,2691,140,17,17,https://example.com/search-products,402,0,36
1789034416270,437,View Product,200,OK,Thread Group 1-17,text,true,,736,223,17,17,https://example.com/view-product,306,0,34
1789034416405,1188,Add to Cart,200,OK,Thread Group 1-17,text,true,,1114,185,17,17,https://example.com/add-to-cart,832,0,13
1789034416540,1453,Checkout,200,OK,Thread Group 1-17,text,true,,1300,194,17,17,https://example.com/checkout,1017,0,27
1789034416675,273,Logout,200,OK,Thread Group 1-17,text,true,,1600,181,17,17,https://example.com/logout,191,0,19
1789034417000,492,Login,200,OK,Thread Group 1-18,text,true,,1877,214,18,18,https://example.com/login,344,0,29
1789034417135,778,Search Products,200,OK,Thread Group 1-18,text,true,,871,125,18,18,https://example.com/search-products,545,0,31
1789034417270,457,View Product,200,OK,Thread Group 1-18,text,true,,1641,113,18,18,https://example.com/view-product,320,0,43
1789034417405,564,Add to Cart,200,OK,Thread Group 1-18,text,true,,2389,114,18,18,https://example.com/add-to-cart,395,0,48
1789034417540,1086,Checkout,200,OK,Thread Group 1-18,text,true,,788,180,18,18,https://example.com/checkout,760,0,41
1789034417675,230,Logout,200,OK,Thread Group 1-18,text,true,,1366,127,18,18,https://example.com/logout,161,0,46
1789034418000,557,Login,200,OK,Thread Group 1-19,text,true,,2895,141,19,19,https://example.com/login,390,0,33
1789034418135,578,Search Products,200,OK,Thread Group 1-19,text,true,,2843,219,19,19,https://example.com/search-products,405,0,16
1789034418270,671,View Product,200,OK,Thread Group 1-19,text,true,,1144,172,19,19,https://example.com/view-product,470,0,38
1789034418405,673,Add to Cart,200,OK,Thread Group 1-19,text,true,,1451,164,19,19,https://example.com/add-to-cart,471,0,49
1789034418540,886,Checkout,200,OK,Thread Group 1-19,text,true,,2869,105,19,19,https://example.com/checkout,620,0,15
1789034418675,117,Logout,200,OK,Thread Group 1-19,text,true,,2559,227,19,19,https://example.com/logout,82,0,32
1789034419000,411,Login,200,OK,Thread Group 1-20,text,true,,1592,222,20,20,https://example.com/login,288,0,11
1789034419135,584,Search Products,200,OK,Thread Group 1-20,text,true,,1739,162,20,20,https://example.com/search-products,409,0,48
1789034419270,538,View Product,200,OK,Thread Group 1-20,text,true,,1111,135,20,20,https://example.com/view-product,377,0,43
1789034419405,784,Add to Cart,200,OK,Thread Group 1-20,text,true,,1152,214,20,20,https://example.com/add-to-cart,549,0,49
1789034419540,1142,Checkout,200,OK,Thread Group 1-20,text,true,,1073,128,20,20,https://example.com/checkout,799,0,41
1789034419675,196,Logout,200,OK,Thread Group 1-20,text,true,,1385,118,20,20,https://example.com/logout,137,0,22
1789034420000,1034,Login,200,OK,Thread Group 1-1,text,true,,2674,228,20,20,https://example.com/login,724,0,45
1789034420135,618,Search Products,200,OK,Thread Group 1-1,text,true,,1033,227,20,20,https://example.com/search-products,433,0,45
1789034420270,420,View Product,200,OK,Thread Group 1-1,text,true,,2986,212,20,20,https://example.com/view-product,294,0,17
1789034420405,561,Add to Cart,200,OK,Thread Group 1-1,text,true,,1720,225,20,20,https://example.com/add-to-cart,393,0,24
1789034420540,1199,Checkout,200,OK,Thread Group 1-1,text,true,,1315,124,20,20,https://example.com/checkout,839,0,45
1789034420675,108,Logout,200,OK,Thread Group 1-1,text,true,,1206,128,20,20,https://example.com/logout,76,0,16
1789034421000,744,Login,200,OK,Thread Group 1-2,text,true,,2870,177,20,20,https://example.com/login,521,0,10
1789034421135,479,Search Products,200,OK,Thread Group 1-2,text,true,,1160,134,20,20,https://example.com/search-products,335,0,44
1789034421270,468,View Product,200,OK,Thread Group 1-2,text,true,,1398,222,20,20,https://example.com/view-product,328,0,29
1789034421405,621,Add to Cart,200,OK,Thread Group 1-2,text,true,,2461,190,20,20,https://example.com/add-to-cart,435,0,41
1789034421540,1117,Checkout,200,OK,Thread Group 1-2,text,true,,1408,232,20,20,https://example.com/checkout,782,0,16
1789034421675,324,Logout,200,OK,Thread Group 1-2,text,true,,2311,149,20,20,https://example.com/logout,227,0,38
1789034422000,338,Login,200,OK,Thread Group 1-3,text,true,,2320,102,20,20,https://example.com/login,237,0,49
1789034422135,516,Search Products,200,OK,Thread Group 1-3,text,true,,2939,148,20,20,https://example.com/search-products,361,0,13
1789034422270,336,View Product,200,OK,Thread Group 1-3,text,true,,873,101,20,20,https://example.com/view-product,235,0,42
1789034422405,854,Add to Cart,200,OK,Thread Group 1-3,text,true,,2718,80,20,20,https://example.com/add-to-cart,598,0,21
1789034422540,742,Checkout,200,OK,Thread Group 1-3,text,true,,1590,158,20,20,https://example.com/checkout,519,0,33
1789034422675,331,Logout,200,OK,Thread Group 1-3,text,true,,2089,195,20,20,https://example.com/logout,232,0,18
1789034423000,458,Login,200,OK,Thread Group 1-4,text,true,,1570,87,20,20,https://example.com/login,321,0,44
1789034423135,415,Search Products,200,OK,Thread Group 1-4,text,true,,1117,221,20,20,https://example.com/search-products,290,0,43
1789034423270,845,View Product,200,OK,Thread Group 1-4,text,true,,2362,116,20,20,https://example.com/view-product,592,0,14
1789034423405,899,Add to Cart,200,OK,Thread Group 1-4,text,true,,1819,234,20,20,https://example.com/add-to-cart,629,0,36
1789034423540,1357,Checkout,200,OK,Thread Group 1-4,text,true,,2411,197,20,20,https://example.com/checkout,950,0,38
1789034423675,201,Logout,200,OK,Thread Group 1-4,text,true,,2218,169,20,20,https://example.com/logout,141,0,29
1789034424000,909,Login,200,OK,Thread Group 1-5,text,true,,1583,234,20,20,https://example.com/login,636,0,11
1789034424135,768,Search Products,200,OK,Thread Group 1-5,text,true,,985,111,20,20,https://example.com/search-products,538,0,48
1789034424270,375,View Product,200,OK,Thread Group 1-5,text,true,,801,177,20,20,https://example.com/view-product,262,0,27
1789034424405,448,Add to Cart,200,OK,Thread Group 1-5,text,true,,1508,113,20,20,https://example.com/add-to-cart,314,0,19
1789034424540,1183,Checkout,200,OK,Thread Group 1-5,text,true,,1445,112,20,20,https://example.com/checkout,828,0,28
1789034424675,297,Logout,200,OK,Thread Group 1-5,text,true,,2507,231,20,20,https://example.com/logout,208,0,22
1789034425000,554,Login,200,OK,Thread Group 1-6,text,true,,921,204,20,20,https://example.com/login,388,0,20
1789034425135,787,Search Products,200,OK,Thread Group 1-6,text,true,,2256,97,20,20,https://example.com/search-products,551,0,24
1789034425270,378,View Product,200,OK,Thread Group 1-6,text,true,,2278,240,20,20,https://example.com/view-product,265,0,19
1789034425405,1024,Add to Cart,200,OK,Thread Group 1-6,text,true,,982,106,20,20,https://example.com/add-to-cart,717,0,35
1789034425540,777,Checkout,200,OK,Thread Group 1-6,text,true,,1392,171,20,20,https://example.com/checkout,544,0,43
1789034425675,124,Logout,200,OK,Thread Group 1-6,text,true,,2882,152,20,20,https://example.com/logout,87,0,49
1789034426000,415,Login,200,OK,Thread Group 1-7,text,true,,2854,135,20,20,https://example.com/login,290,0,15
1789034426135,936,Search Products,200,OK,Thread Group 1-7,text,true,,2419,121,20,20,https://example.com/search-products,655,0,16
1789034426270,671,View Product,200,OK,Thread Group 1-7,text,true,,1756,237,20,20,https://example.com/view-product,470,0,11
1789034426405,805,Add to Cart,200,OK,Thread Group 1-7,text,true,,1914,185,20,20,https://example.com/add-to-cart,564,0,38
1789034426540,1009,Checkout,200,OK,Thread Group 1-7,text,true,,1280,90,20,20,https://example.com/checkout,706,0,35
1789034426675,178,Logout,200,OK,Thread Group 1-7,text,true,,2785,128,20,20,https://example.com/logout,125,0,33
1789034427000,474,Login,200,OK,Thread Group 1-8,text,true,,1380,97,20,20,https://example.com/login,332,0,38
1789034427135,671,Search Products,200,OK,Thread Group 1-8,text,true,,738,100,20,20,https://example.com/search-products,470,0,14
1789034427270,397,View Product,200,OK,Thread Group 1-8,text,true,,1006,218,20,20,https://example.com/view-product,278,0,29
1789034427405,697,Add to Cart,200,OK,Thread Group 1-8,text,true,,1476,117,20,20,https://example.com/add-to-cart,488,0,30
1789034427540,897,Checkout,200,OK,Thread Group 1-8,text,true,,2439,175,20,20,https://example.com/checkout,628,0,13
1789034427675,182,Logout,200,OK,Thread Group 1-8,text,true,,766,205,20,20,https://example.com/logout,127,0,20
1789034428000,234,Login,200,OK,Thread Group 1-9,text,true,,1607,237,20,20,https://example.com/login,164,0,24
1789034428135,1226,Search Products,200,OK,Thread Group 1-9,text,true,,2686,95,20,20,https://example.com/search-products,858,0,22
1789034428270,376,View Product,200,OK,Thread Group 1-9,text,true,,2807,95,20,20,https://example.com/view-product,263,0,19
1789034428405,1067,Add to Cart,200,OK,Thread Group 1-9,text,true,,1959,178,20,20,https://example.com/add-to-cart,747,0,34
1789034428540,1251,Checkout,200,OK,Thread Group 1-9,text,true,,1261,165,20,20,https://example.com/checkout,876,0,41
1789034428675,214,Logout,200,OK,Thread Group 1-9,text,true,,2523,232,20,20,https://example.com/logout,150,0,49
1789034429000,281,Login,200,OK,Thread Group 1-10,text,true,,2949,173,20,20,https://example.com/login,197,0,43
1789034429135,601,Search Products,200,OK,Thread Group 1-10,text,true,,909,232,20,20,https://example.com/search-products,421,0,37
1789034429270,384,View Product,200,OK,Thread Group 1-10,text,true,,1395,209,20,20,https://example.com/view-product,269,0,26
1789034429405,525,Add to Cart,200,OK,Thread Group 1-10,text,true,,2834,203,20,20,https://example.com/add-to-cart,368,0,16
1789034429540,912,Checkout,200,OK,Thread Group 1-10,text,true,,763,154,20,20,https://example.com/checkout,638,0,29
1789034429675,213,Logout,200,OK,Thread Group 1-10,text,true,,2500,134,20,20,https://example.com/logout,149,0,49
1789034430000,354,Login,200,OK,Thread Group 1-11,text,true,,2917,210,20,20,https://example.com/login,248,0,46
1789034430135,844,Search Products,200,OK,Thread Group 1-11,text,true,,2062,85,20,20,https://example.com/search-products,591,0,31
1789034430270,607,View Product,200,OK,Thread Group 1-11,text,true,,2675,107,20,20,https://example.com/view-product,425,0,35
1789034430405,686,Add to Cart,200,OK,Thread Group 1-11,text,true,,713,196,20,20,https://example.com/add-to-cart,480,0,42
1789034430540,1271,Checkout,200,OK,Thread Group 1-11,text,true,,1433,119,20,20,https://example.com/checkout,890,0,41
1789034430675,347,Logout,200,OK,Thread Group 1-11,text,true,,2680,211,20,20,https://example.com/logout,243,0,29
1789034431000,316,Login,200,OK,Thread Group 1-12,text,true,,1202,175,20,20,https://example.com/login,221,0,24
1789034431135,622,Search Products,200,OK,Thread Group 1-12,text,true,,1376,172,20,20,https://example.com/search-products,435,0,34
1789034431270,306,View Product,200,OK,Thread Group 1-12,text,true,,1177,197,20,20,https://example.com/view-product,214,0,35
1789034431405,946,Add to Cart,200,OK,Thread Group 1-12,text,true,,940,188,20,20,https://example.com/add-to-cart,662,0,43
1789034431540,986,Checkout,200,OK,Thread Group 1-12,text,true,,2398,217,20,20,https://example.com/checkout,690,0,34
1789034431675,145,Logout,200,OK,Thread Group 1-12,text,true,,1492,82,20,20,https://example.com/logout,102,0,45
1789034432000,379,Login,200,OK,Thread Group 1-13,text,true,,2269,130,20,20,https://example.com/login,265,0,20
1789034432135,493,Search Products,200,OK,Thread Group 1-13,text,true,,1238,104,20,20,https://example.com/search-products,345,0,48
1789034432270,541,View Product,200,OK,Thread Group 1-13,text,true,,2279,212,20,20,https://example.com/view-product,379,0,24
1789034432405,575,Add to Cart,200,OK,Thread Group 1-13,text,true,,2467,167,20,20,https://example.com/add-to-cart,402,0,39
1789034432540,850,Checkout,200,OK,Thread Group 1-13,text,true,,2949,82,20,20,https://example.com/checkout,595,0,26
1789034432675,258,Logout,200,OK,Thread Group 1-13,text,true,,1597,138,20,20,https://example.com/logout,181,0,41
1789034433000,301,Login,200,OK,Thread Group 1-14,text,true,,2606,220,20,20,https://example.com/login,211,0,35
1789034433135,917,Search Products,200,OK,Thread Group 1-14,text,true,,2196,195,20,20,https://example.com/search-products,642,0,30
1789034433270,578,View Product,200,OK,Thread Group 1-14,text,true,,2641,106,20,20,https://example.com/view-product,405,0,10
