timeStamp,elapsed,label,responseCode,responseMessage,success,threadName,dataType,bytes,grpThreads,allThreads,Latency,IdleTime,Connect
1758662085467,350,Login,200,OK,true,Thread Group 1-199,text,2632,52,52,296,0,102
1758662085567,251,Logout,200,OK,true,Thread Group 1-137,text,2014,199,199,128,0,26
1758662085667,160,Logout,500,Internal Server Error,false,Thread Group 1-130,text,3866,64,64,81,0,41
1758662085767,438,Browse,200,OK,true,Thread Group 1-191,text,2031,104,104,280,0,44
1758662085867,482,Search,200,OK,true,Thread Group 1-117,text,1509,102,102,298,0,103
1758662085967,226,Logout,200,OK,true,Thread Group 1-184,text,2207,189,189,162,0,50
1758662086067,957,Checkout,200,OK,true,Thread Group 1-198,text,1736,150,150,557,0,286
1758662086167,216,Browse,200,OK,true,Thread Group 1-18,text,3123,156,156,123,0,23
1758662086267,794,Checkout,500,Internal Server Error,false,Thread Group 1-21,text,3857,154,154,581,0,93
1758662086367,864,Checkout,200,OK,true,Thread Group 1-56,text,4371,135,135,454,0,155
1758662086467,288,Login,200,OK,true,Thread Group 1-132,text,3963,66,66,155,0,74
1758662086567,342,Browse,200,OK,true,Thread Group 1-155,text,707,187,187,293,0,66
1758662086667,701,Checkout,500,Internal Server Error,false,Thread Group 1-123,text,3537,148,148,470,0,128
1758662086767,566,Search,200,OK,true,Thread Group 1-135,text,3688,108,108,305,0,147
1758662086867,351,Browse,200,OK,true,Thread Group 1-59,text,2380,175,175,278,0,73
1758662086967,636,Search,200,OK,true,Thread Group 1-192,text,4801,67,67,551,0,64
1758662087067,240,Logout,200,OK,true,Thread Group 1-42,text,4735,122,122,126,0,57
1758662087167,266,Login,200,OK,true,Thread Group 1-106,text,3787,89,89,159,0,65
1758662087267,595,Checkout,200,OK,true,Thread Group 1-102,text,2601,141,141,520,0,171
1758662087367,410,Browse,200,OK,true,Thread Group 1-23,text,2024,133,133,317,0,46
1758662087467,574,Checkout,200,OK,true,Thread Group 1-55,text,1953,102,102,287,0,152
1758662087567,852,Checkout,200,OK,true,Thread Group 1-147,text,1013,150,150,706,0,220
1758662087667,436,Search,200,OK,true,Thread Group 1-16,text,3791,124,124,234,0,60
1758662087767,263,Login,200,OK,true,Thread Group 1-119,text,4637,73,73,169,0,30
1758662087867,354,Browse,200,OK,true,Thread Group 1-189,text,1610,88,88,203,0,44
1758662087967,194,Logout,200,OK,true,Thread Group 1-195,text,2500,78,78,151,0,52
1758662088067,477,Search,200,OK,true,Thread Group 1-146,text,3482,80,80,396,0,54
1758662088167,444,Search,200,OK,true,Thread Group 1-111,text,2317,161,161,284,0,62
1758662088267,764,Checkout,200,OK,true,Thread Group 1-3,text,4219,122,122,680,0,107
1758662088367,1150,Checkout,200,OK,true,Thread Group 1-75,text,3832,171,171,998,0,219
1758662088467,219,Logout,200,OK,true,Thread Group 1-93,text,2289,83,83,141,0,40
1758662088567,522,Browse,200,OK,true,Thread Group 1-33,text,4815,124,124,354,0,87
1758662088667,219,Logout,200,OK,true,Thread Group 1-69,text,3079,172,172,148,0,55
1758662088767,839,Checkout,200,OK,true,Thread Group 1-154,text,4605,142,142,560,0,120
