timeStamp,elapsed,label,responseCode,responseMessage,success,threadName,dataType,bytes,grpThreads,allThreads,Latency,IdleTime,Connect
1758747654403,11473,Login,200,OK,true,Thread Group 1-109,text,2916,200,200,9960,0,2434
1758747654503,3879,Checkout,200,OK,true,Thread Group 1-89,text,749,200,200,3107,0,1433
1758747654603,1664,Browse,200,OK,true,Thread Group 1-83,text,4523,200,200,1082,0,636
1758747654703,644,Login,200,OK,true,Thread Group 1-171,text,1870,200,200,533,0,239
1758747654803,1443,Browse,200,OK,true,Thread Group 1-123,text,4735,200,200,910,0,467
1758747654903,651,Logout,500,Internal Server Error,false,Thread Group 1-2,text,1413,200,200,508,0,140
1758747655003,1365,Login,200,OK,true,Thread Group 1-42,text,4802,200,200,949,0,399
1758747655103,2020,Checkout,200,OK,true,Thread Group 1-128,text,3589,200,200,1496,0,631
1758747655203,649,Logout,200,OK,true,Thread Group 1-26,text,1475,200,200,447,0,226
1758747655303,2380,Search,200,OK,true,Thread Group 1-64,text,1814,200,200,2017,0,658
1758747655403,681,Logout,200,OK,true,Thread Group 1-165,text,2572,200,200,425,0,198
1758747655503,3892,Checkout,200,OK,true,Thread Group 1-81,text,4518,200,200,3156,0,1191
1758747655603,703,Logout,200,OK,true,Thread Group 1-78,text,3176,200,200,433,0,210
1758747655703,991,Logout,200,OK,true,Thread Group 1-133,text,2366,200,200,665,0,229
1758747655803,1674,Browse,200,OK,true,Thread Group 1-66,text,3268,200,200,1062,0,367
1758747655903,1298,Search,200,OK,true,Thread Group 1-98,text,2159,200,200,945,0,405
1758747656003,751,Logout,200,OK,true,Thread Group 1-7,text,3633,200,200,485,0,276
1758747656103,476,Logout,200,OK,true,Thread Group 1-86,text,1239,200,200,429,0,167
1758747656203,1424,Browse,200,OK,true,Thread Group 1-103,text,3933,200,200,1001,0,519
1758747656303,1714,Browse,200,OK,true,Thread Group 1-44,text,3314,200,200,1150,0,479
1758747656403,670,Login,200,OK,true,Thread Group 1-20,text,1978,200,200,535,0,194
1758747656503,893,Browse,200,OK,true,Thread Group 1-136,text,1236,200,200,737,0,184
1758747656603,3870,Checkout,200,OK,true,Thread Group 1-32,text,3861,200,200,3669,0,1046
1758747656703,1553,Browse,200,OK,true,Thread Group 1-172,text,2700,200,200,1324,0,528
1758747656803,1396,Browse,200,OK,true,Thread Group 1-64,text,2361,200,200,976,0,501
1758747656903,3503,Checkout,200,OK,true,Thread Group 1-92,text,883,200,200,3014,0,1009
1758747657003,1759,Browse,200,OK,true,Thread Group 1-109,text,2052,200,200,1169,0,415
1758747657103,757,Logout,200,OK,true,Thread Group 1-36,text,2032,200,200,630,0,169
1758747657203,1622,Login,200,OK,true,Thread Group 1-157,text,1686,200,200,1120,0,581
1758747657303,3173,Checkout,200,OK,true,Thread Group 1-18,text,2279,200,200,2494,0,774
1758747657403,1561,Browse,200,OK,true,Thread Group 1-176,text,2613,200,200,1380,0,434
1758747657503,646,Browse,200,OK,true,Thread Group 1-138,text,1430,200,200,475,0,205
1758747657603,2633,Checkout,200,OK,true,Thread Group 1-65,text,1664,200,200,1630,0,1051
1758747657703,1573,Browse,200,OK,true,Thread Group 1-185,text,1428,200,200,1217,0,411
1758747657803,1569,Browse,200,OK,true,Thread Group 1-170,text,3878,200,200,1372,0,381
1758747657903,815,Login,200,OK,true,Thread Group 1-82,text,4215,200,200,512,0,308
1758747658003,2080,Checkout,200,OK,true,Thread Group 1-101,text,3564,200,200,1400,0,473
1758747658103,2403,Checkout,200,OK,true,Thread Group 1-140,text,4433,200,200,1900,0,766
1758747658203,2613,Search,200,OK,true,Thread Group 1-140,text,2114,200,200,2237,0,531
1758747658303,3882,Checkout,200,OK,true,Thread Group 1-120,text,2606,200,200,3301,0,1035
1758747658403,2291,Search,200,OK,true,Thread Group 1-200,text,4294,200,200,1898,0,643
1758747658503,1318,Login,200,OK,true,Thread Group 1-64,text,2397,200,200,834,0,367
1758747658603,1717,Search,200,OK,true,Thread Group 1-174,text,4954,200,200,1102,0,407
1758747658703,2148,Search,200,OK,true,Thread Group 1-68,text,3243,200,200,1744,0,578
1758747658803,1970,Search,200,OK,true,Thread Group 1-106,text,2553,200,200,1337,0,450
1758747658903,2680,Checkout,200,OK,true,Thread Group 1-159,text,3301,200,200,1762,0,787
1758747659003,542,Logout,200,OK,true,Thread Group 1-31,text,1986,200,200,374,0,133
1758747659103,446,Logout,500,Internal Server Error,false,Thread Group 1-156,text,4640,200,200,267,0,176
1758747659203,1407,Login,200,OK,true,Thread Group 1-108,text,625,200,200,1255,0,555
1758747659303,1143,Logout,200,OK,true,Thread Group 1-56,text,576,200,200,1007,0,417
1758747659403,1963,Checkout,200,OK,true,Thread Group 1-60,text,3213,200,200,1354,0,401
1758747659503,810,Login,200,OK,true,Thread Group 1-120,text,2671,200,200,746,0,292
1758747659603,948,Login,200,OK,true,Thread Group 1-63,text,4946,200,200,731,0,355
1758747659703,923,Logout,200,OK,true,Thread Group 1-42,text,3343,200,200,654,0,276
1758747659803,2489,Checkout,200,OK,true,Thread Group 1-143,text,3805,200,200,2313,0,810
1758747659903,1714,Search,200,OK,true,Thread Group 1-35,text,1730,200,200,1457,0,401
1758747660003,2227,Checkout,200,OK,true,Thread Group 1-29,text,644,200,200,2088,0,573
1758747660103,3171,Checkout,500,Internal Server Error,false,Thread Group 1-193,text,4105,200,200,1988,0,943
1758747660203,1600,Checkout,200,OK,true,Thread Group 1-128,text,2506,200,200,1485,0,511
1758747660303,1738,Browse,200,OK,true,Thread Group 1-39,text,3066,200,200,1501,0,457
1758747660403,1442,Login,200,OK,true,Thread Group 1-130,text,3742,200,200,1146,0,351
1758747660503,1269,Browse,200,OK,true,Thread Group 1-158,text,3141,200,200,942,0,317
1758747660603,1444,Login,200,OK,true,Thread Group 1-140,text,4631,200,200,940,0,494
1758747660703,1038,Search,200,OK,true,Thread Group 1-77,text,2300,200,200,663,0,341
1758747660803,596,Logout,200,OK,true,Thread Group 1-165,text,2164,200,200,491,0,139
1758747660903,487,Logout,200,OK,true,Thread Group 1-152,text,3726,200,200,410,0,150
1758747661003,2221,Search,200,OK,true,Thread Group 1-35,text,1123,200,200,1564,0,674
1758747661103,2072,Search,200,OK,true,Thread Group 1-121,text,4617,200,200,1449,0,689
1758747661203,746,Logout,200,OK,true,Thread Group 1-155,text,2343,200,200,617,0,181
1758747661303,1056,Login,200,OK,true,Thread Group 1-66,text,2409,200,200,805,0,315
1758747661403,1622,Browse,200,OK,true,Thread Group 1-28,text,1401,200,200,1170,0,588
1758747661503,1817,Search,200,OK,true,Thread Group 1-172,text,4450,200,200,1535,0,547
1758747661603,1271,Login,200,OK,true,Thread Group 1-54,text,4402,200,200,1197,0,309
1758747661703,706,Logout,200,OK,true,Thread Group 1-35,text,2947,200,200,580,0,268
1758747661803,1256,Logout,200,OK,true,Thread Group 1-10,text,3380,200,200,1142,0,497
1758747661903,5099,Checkout,200,OK,true,Thread Group 1-8,text,1017,200,200,4805,0,1775
1758747662003,1369,Login,200,OK,true,Thread Group 1-45,text,3182,200,200,889,0,328
1758747662103,1299,Browse,200,OK,true,Thread Group 1-162,text,4131,200,200,813,0,315
1758747662203,3093,Search,200,OK,true,Thread Group 1-20,text,4168,200,200,2541,0,1060
1758747662303,853,Logout,200,OK,true,Thread Group 1-148,text,3795,200,200,721,0,319
1758747662403,1038,Search,200,OK,true,Thread Group 1-14,text,1723,200,200,711,0,229
1758747662503,500,Login,200,OK,true,Thread Group 1-4,text,3692,200,200,361,0,151
1758747662603,786,Login,200,OK,true,Thread Group 1-76,text,1985,200,200,725,0,299
1758747662703,1759,Search,200,OK,true,Thread Group 1-141,text,821,200,200,1657,0,695
1758747662803,1309,Login,200,OK,true,Thread Group 1-120,text,4976,200,200,1152,0,501
1758747662903,3956,Checkout,200,OK,true,Thread Group 1-65,text,3061,200,200,3234,0,807
1758747663003,2340,Checkout,200,OK,true,Thread Group 1-86,text,2408,200,200,1487,0,636
1758747663103,4668,Checkout,200,OK,true,Thread Group 1-106,text,1202,200,200,3885,0,1584
