timeStamp,elapsed,label,responseCode,responseMessage,success,threadName,dataType,bytes,grpThreads,allThreads,Latency,IdleTime,Connect
1758747230053,1134,Logout,200,OK,true,Thread Group 1-67,text,2825,200,200,1014,0,148
1758747230153,500,Search,200,OK,true,Thread Group 1-128,text,4796,200,200,414,0,113
1758747230253,274,Logout,200,OK,true,Thread Group 1-21,text,599,200,200,162,0,37
1758747230353,386,Browse,200,OK,true,Thread Group 1-144,text,1571,200,200,224,0,47
1758747230453,468,Search,200,OK,true,Thread Group 1-5,text,4208,200,200,278,0,106
1758747230553,321,Logout,200,OK,true,Thread Group 1-159,text,2302,200,200,244,0,70
1758747230653,444,Search,200,OK,true,Thread Group 1-66,text,2693,200,200,346,0,121
1758747230753,348,Login,200,OK,true,Thread Group 1-136,text,4298,200,200,245,0,35
1758747230853,820,Checkout,200,OK,true,Thread Group 1-29,text,603,200,200,712,0,108
1758747230953,177,Logout,200,OK,true,Thread Group 1-196,text,4979,200,200,146,0,45
1758747231053,415,Browse,500,Internal Server Error,false,Thread Group 1-170,text,1026,200,200,354,0,52
1758747231153,415,Browse,200,OK,true,Thread Group 1-153,text,556,200,200,243,0,51
1758747231253,229,Login,200,OK,true,Thread Group 1-189,text,3731,200,200,168,0,60
1758747231353,246,Login,200,OK,true,Thread Group 1-104,text,4380,200,200,154,0,63
1758747231453,517,Search,200,OK,true,Thread Group 1-139,text,2339,200,200,448,0,150
1758747231553,836,Checkout,200,OK,true,Thread Group 1-52,text,3028,200,200,508,0,216
1758747231653,1025,Checkout,200,OK,true,Thread Group 1-22,text,2632,200,200,813,0,173
1758747231753,330,Login,200,OK,true,Thread Group 1-55,text,985,200,200,248,0,52
1758747231853,470,Browse,200,OK,true,Thread Group 1-34,text,729,200,200,243,0,83
1758747231953,592,Search,200,OK,true,Thread Group 1-32,text,2180,200,200,516,0,85
1758747232053,578,Search,200,OK,true,Thread Group 1-42,text,2066,200,200,349,0,146
1758747232153,789,Checkout,200,OK,true,Thread Group 1-127,text,4768,200,200,599,0,176
1758747232253,492,Browse,200,OK,true,Thread Group 1-36,text,4830,200,200,299,0,84
1758747232353,516,Login,200,OK,true,Thread Group 1-78,text,4505,200,200,309,0,88
1758747232453,261,Login,200,OK,true,Thread Group 1-121,text,1807,200,200,228,0,57
1758747232553,126,Logout,200,OK,true,Thread Group 1-49,text,2312,200,200,74,0,35
1758747232653,1165,Checkout,200,OK,true,Thread Group 1-64,text,2618,200,200,715,0,130
1758747232753,836,Checkout,200,OK,true,Thread Group 1-145,text,2711,200,200,424,0,219
1758747232853,340,Login,200,OK,true,Thread Group 1-24,text,3894,200,200,197,0,35
1758747232953,459,Browse,200,OK,true,Thread Group 1-40,text,948,200,200,363,0,87
1758747233053,302,Login,200,OK,true,Thread Group 1-15,text,1475,200,200,238,0,34
1758747233153,218,Logout,200,OK,true,Thread Group 1-41,text,4510,200,200,145,0,56
1758747233253,432,Browse,200,OK,true,Thread Group 1-95,text,1001,200,200,220,0,47
1758747233353,558,Search,200,OK,true,Thread Group 1-150,text,4059,200,200,379,0,105
1758747233453,308,Login,200,OK,true,Thread Group 1-22,text,861,200,200,212,0,41
1758747233553,317,Login,200,OK,true,Thread Group 1-166,text,3215,200,200,259,0,64
1758747233653,327,Login,200,OK,true,Thread Group 1-28,text,1172,200,200,209,0,70
1758747233753,727,Checkout,200,OK,true,Thread Group 1-113,text,2195,200,200,492,0,122
1758747233853,435,Search,200,OK,true,Thread Group 1-40,text,3638,200,200,386,0,75
1758747233953,507,Browse,200,OK,true,Thread Group 1-12,text,3403,200,200,269,0,55
1758747234053,494,Search,200,OK,true,Thread Group 1-40,text,1438,200,200,335,0,130
1758747234153,483,Search,200,OK,true,Thread Group 1-73,text,672,200,200,262,0,130
1758747234253,329,Login,200,OK,true,Thread Group 1-141,text,4865,200,200,168,0,74
1758747234353,345,Browse,200,OK,true,Thread Group 1-125,text,3230,200,200,257,0,86
1758747234453,456,Search,200,OK,true,Thread Group 1-13,text,2606,200,200,383,0,66
1758747234553,209,Logout,200,OK,true,Thread Group 1-140,text,2811,200,200,174,0,47
1758747234653,112,Logout,200,OK,true,Thread Group 1-18,text,1315,200,200,66,0,23
1758747234753,860,Checkout,200,OK,true,Thread Group 1-69,text,2304,200,200,639,0,160
1758747234853,430,Browse,200,OK,true,Thread Group 1-186,text,3339,200,200,222,0,52
1758747234953,365,Search,200,OK,true,Thread Group 1-103,text,2305,200,200,249,0,75
1758747235053,174,Logout,200,OK,true,Thread Group 1-93,text,3072,200,200,151,0,34
1758747235153,186,Logout,200,OK,true,Thread Group 1-124,text,4700,200,200,114,0,37
1758747235253,555,Search,200,OK,true,Thread Group 1-84,text,826,200,200,432,0,112
1758747235353,1157,Checkout,500,Internal Server Error,false,Thread Group 1-24,text,2727,200,200,646,0,252
1758747235453,539,Checkout,200,OK,true,Thread Group 1-196,text,1140,200,200,457,0,130
1758747235553,441,Browse,200,OK,true,Thread Group 1-119,text,3755,200,200,230,0,112
1758747235653,613,Checkout,200,OK,true,Thread Group 1-91,text,1509,200,200,479,0,145
1758747235753,981,Checkout,200,OK,true,Thread Group 1-140,text,1483,200,200,643,0,243
1758747235853,299,Login,200,OK,true,Thread Group 1-163,text,1313,200,200,187,0,37
1758747235953,140,Browse,200,OK,true,Thread Group 1-192,text,4913,200,200,109,0,26
1758747236053,291,Login,200,OK,true,Thread Group 1-11,text,2497,200,200,155,0,57
1758747236153,383,Browse,200,OK,true,Thread Group 1-75,text,2867,200,200,333,0,94
1758747236253,215,Logout,200,OK,true,Thread Group 1-42,text,2137,200,200,125,0,47
1758747236353,153,Logout,200,OK,true,Thread Group 1-41,text,3627,200,200,102,0,41
1758747236453,405,Browse,200,OK,true,Thread Group 1-76,text,4323,200,200,266,0,58
1758747236553,295,Login,200,OK,true,Thread Group 1-37,text,2332,200,200,152,0,39
1758747236653,229,Logout,200,OK,true,Thread Group 1-45,text,1173,200,200,174,0,57
1758747236753,296,Login,200,OK,true,Thread Group 1-31,text,1666,200,200,216,0,75
1758747236853,530,Checkout,200,OK,true,Thread Group 1-42,text,2421,200,200,296,0,140
1758747236953,677,Checkout,200,OK,true,Thread Group 1-197,text,3239,200,200,496,0,137
1758747237053,206,Logout,200,OK,true,Thread Group 1-194,text,3621,200,200,120,0,30
1758747237153,368,Browse,200,OK,true,Thread Group 1-146,text,4506,200,200,199,0,65
1758747237253,182,Logout,200,OK,true,Thread Group 1-67,text,3853,200,200,123,0,40
1758747237353,560,Browse,200,OK,true,Thread Group 1-19,text,1769,200,200,480,0,151
1758747237453,140,Logout,200,OK,true,Thread Group 1-187,text,2490,200,200,105,0,35
1758747237553,680,Checkout,500,Internal Server Error,false,Thread Group 1-36,text,891,200,200,422,0,84
1758747237653,482,Browse,500,Internal Server Error,false,Thread Group 1-140,text,769,200,200,350,0,81
1758747237753,112,Logout,200,OK,true,Thread Group 1-67,text,3686,200,200,98,0,32
1758747237853,787,Checkout,200,OK,true,Thread Group 1-7,text,3221,200,200,461,0,167
1758747237953,222,Logout,200,OK,true,Thread Group 1-50,text,3587,200,200,173,0,65
1758747238053,301,Login,200,OK,true,Thread Group 1-163,text,4090,200,200,180,0,46
1758747238153,725,Checkout,200,OK,true,Thread Group 1-139,text,2179,200,200,541,0,119
1758747238253,122,Login,200,OK,true,Thread Group 1-36,text,3886,200,200,96,0,26
1758747238353,314,Login,200,OK,true,Thread Group 1-125,text,1274,200,200,224,0,51
1758747238453,199,Login,200,OK,true,Thread Group 1-53,text,4464,200,200,106,0,21
1758747238553,366,Login,500,Internal Server Error,false,Thread Group 1-108,text,2962,200,200,219,0,69
1758747238653,375,Browse,200,OK,true,Thread Group 1-180,text,4974,200,200,302,0,72
1758747238753,750,Checkout,200,OK,true,Thread Group 1-38,text,4820,200,200,470,0,175
1758747238853,869,Checkout,200,OK,true,Thread Group 1-173,text,3167,200,200,473,0,217
1758747238953,107,Logout,200,OK,true,Thread Group 1-1,text,1831,200,200,59,0,19
1758747239053,869,Checkout,200,OK,true,Thread Group 1-16,text,3484,200,200,695,0,98
1758747239153,693,Checkout,200,OK,true,Thread Group 1-41,text,1120,200,200,578,0,195
1758747239253,289,Login,200,OK,true,Thread Group 1-86,text,1328,200,200,234,0,53
1758747239353,276,Login,200,OK,true,Thread Group 1-160,text,3470,200,200,208,0,75
1758747239453,202,Logout,200,OK,true,Thread Group 1-161,text,4794,200,200,118,0,44
1758747239553,812,Checkout,500,Internal Server Error,false,Thread Group 1-176,text,2419,200,200,704,0,91
1758747239653,750,Checkout,200,OK,true,Thread Group 1-117,text,4938,200,200,424,0,116
1758747239753,321,Browse,200,OK,true,Thread Group 1-117,text,3548,200,200,215,0,63
1758747239853,843,Checkout,200,OK,true,Thread Group 1-173,text,3591,200,200,657,0,201
1758747239953,418,Browse,200,OK,true,Thread Group 1-121,text,4184,200,200,291,0,55
1758747240053,562,Search,200,OK,true,Thread Group 1-104,text,639,200,200,418,0,151
1758747240153,470,Search,200,OK,true,Thread Group 1-181,text,2225,200,200,357,0,102
1758747240253,349,Browse,200,OK,true,Thread Group 1-120,text,3912,200,200,202,0,71
1758747240353,442,Browse,200,OK,true,Thread Group 1-140,text,1723,200,200,250,0,107
1758747240453,424,Search,200,OK,true,Thread Group 1-194,text,1762,200,200,368,0,90
1758747240553,431,Login,200,OK,true,Thread Group 1-112,text,640,200,200,282,0,69
1758747240653,733,Checkout,200,OK,true,Thread Group 1-130,text,3009,200,200,380,0,169
1758747240753,279,Login,200,OK,true,Thread Group 1-114,text,4388,200,200,235,0,56
1758747240853,893,Checkout,200,OK,true,Thread Group 1-149,text,1681,200,200,757,0,179
1758747240953,409,Search,500,Internal Server Error,false,Thread Group 1-151,text,4763,200,200,269,0,86
1758747241053,179,Logout,500,Internal Server Error,false,Thread Group 1-18,text,3818,200,200,99,0,50
1758747241153,633,Search,200,OK,true,Thread Group 1-15,text,3560,200,200,474,0,86
1758747241253,582,Search,200,OK,true,Thread Group 1-61,text,2972,200,200,522,0,78
1758747241353,451,Search,200,OK,true,Thread Group 1-72,text,2290,200,200,253,0,58
1758747241453,136,Logout,200,OK,true,Thread Group 1-24,text,3323,200,200,96,0,17
1758747241553,321,Login,200,OK,true,Thread Group 1-82,text,2402,200,200,207,0,42
1758747241653,286,Login,200,OK,true,Thread Group 1-45,text,3523,200,200,230,0,54
1758747241753,350,Login,200,OK,true,Thread Group 1-133,text,4521,200,200,257,0,49
1758747241853,297,Login,200,OK,true,Thread Group 1-84,text,1369,200,200,217,0,39
1758747241953,213,Logout,200,OK,true,Thread Group 1-9,text,4253,200,200,140,0,25
1758747242053,221,Login,200,OK,true,Thread Group 1-16,text,724,200,200,179,0,33
1758747242153,225,Logout,200,OK,true,Thread Group 1-174,text,4941,200,200,146,0,47
1758747242253,343,Browse,200,OK,true,Thread Group 1-110,text,602,200,200,289,0,77
1758747242353,278,Browse,200,OK,true,Thread Group 1-44,text,1070,200,200,152,0,67
1758747242453,300,Login,200,OK,true,Thread Group 1-172,text,3782,200,200,213,0,58
1758747242553,287,Login,200,OK,true,Thread Group 1-143,text,879,200,200,213,0,43
1758747242653,289,Login,200,OK,true,Thread Group 1-45,text,3413,200,200,184,0,77
1758747242753,1201,Checkout,200,OK,true,Thread Group 1-103,text,1588,200,200,783,0,357
1758747242853,528,Search,200,OK,true,Thread Group 1-10,text,548,200,200,308,0,141
1758747242953,493,Search,200,OK,true,Thread Group 1-9,text,1363,200,200,396,0,134
1758747243053,335,Browse,200,OK,true,Thread Group 1-55,text,3684,200,200,172,0,99
1758747243153,289,Login,200,OK,true,Thread Group 1-143,text,4673,200,200,160,0,82
1758747243253,1110,Checkout,200,OK,true,Thread Group 1-86,text,3648,200,200,831,0,310
1758747243353,241,Logout,200,OK,true,Thread Group 1-180,text,3520,200,200,181,0,38
1758747243453,643,Search,200,OK,true,Thread Group 1-59,text,1790,200,200,511,0,169
1758747243553,852,Checkout,200,OK,true,Thread Group 1-87,text,975,200,200,728,0,143
1758747243653,584,Checkout,200,OK,true,Thread Group 1-20,text,3429,200,200,376,0,68
1758747243753,372,Browse,200,OK,true,Thread Group 1-49,text,4670,200,200,226,0,104
1758747243853,219,Logout,500,Internal Server Error,false,Thread Group 1-67,text,2716,200,200,133,0,23
1758747243953,100,Logout,200,OK,true,Thread Group 1-28,text,1975,200,200,80,0,23
1758747244053,616,Checkout,200,OK,true,Thread Group 1-51,text,1974,200,200,442,0,83
1758747244153,250,Login,200,OK,true,Thread Group 1-73,text,3430,200,200,127,0,69
1758747244253,190,Logout,200,OK,true,Thread Group 1-158,text,4786,200,200,113,0,55
1758747244353,193,Logout,200,OK,true,Thread Group 1-97,text,4310,200,200,112,0,43
1758747244453,252,Login,200,OK,true,Thread Group 1-5,text,2020,200,200,142,0,55
1758747244553,918,Checkout,500,Internal Server Error,false,Thread Group 1-26,text,1204,200,200,482,0,97
1758747244653,141,Logout,200,OK,true,Thread Group 1-146,text,2646,200,200,85,0,15
1758747244753,304,Login,200,OK,true,Thread Group 1-178,text,3917,200,200,189,0,42
1758747244853,200,Logout,200,OK,true,Thread Group 1-52,text,1997,200,200,122,0,43
1758747244953,387,Login,200,OK,true,Thread Group 1-27,text,4259,200,200,267,0,73
1758747245053,722,Checkout,200,OK,true,Thread Group 1-33,text,652,200,200,481,0,208
1758747245153,916,Checkout,200,OK,true,Thread Group 1-176,text,1027,200,200,603,0,187
