timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788343200000,445,Login,200,OK,Thread Group 1-1,text,true,,1989,200,1,1,https://example.com/login,312,0,18
1788343200135,791,Search Products,200,OK,Thread Group 1-1,text,true,,1259,104,1,1,https://example.com/search-products,554,0,42
1788343200270,586,View Product,200,OK,Thread Group 1-1,text,true,,945,182,1,1,https://example.com/view-product,410,0,10
1788343200405,1188,Add to Cart,200,OK,Thread Group 1-1,text,true,,2358,210,1,1,https://example.com/add-to-cart,832,0,48
1788343200540,846,Checkout,200,OK,Thread Group 1-1,text,true,,2426,237,1,1,https://example.com/checkout,592,0,37
1788343200675,344,Logout,200,OK,Thread Group 1-1,text,true,,2430,155,1,1,https://example.com/logout,241,0,21
1788343201000,369,Login,200,OK,Thread Group 1-2,text,true,,2647,106,2,2,https://example.com/login,258,0,45
1788343201135,841,Search Products,200,OK,Thread Group 1-2,text,true,,2753,171,2,2,https://example.com/search-products,589,0,13
1788343201270,696,View Product,200,OK,Thread Group 1-2,text,true,,2663,141,2,2,https://example.com/view-product,487,0,41
1788343201405,760,Add to Cart,200,OK,Thread Group 1-2,text,true,,2470,82,2,2,https://example.com/add-to-cart,532,0,37
1788343201540,1220,Checkout,200,OK,Thread Group 1-2,text,true,,1262,198,2,2,https://example.com/checkout,854,0,34
1788343201675,460,Logout,200,OK,Thread Group 1-2,text,true,,2873,153,2,2,https://example.com/logout,322,0,42
1788343202000,469,Login,200,OK,Thread Group 1-3,text,true,,1203,234,3,3,https://example.com/login,328,0,30
1788343202135,578,Search Products,200,OK,Thread Group 1-3,text,true,,2567,124,3,3,https://example.com/search-products,405,0,32
1788343202270,1008,View Product,200,OK,Thread Group 1-3,text,true,,1114,119,3,3,https://example.com/view-product,706,0,27
1788343202405,1097,Add to Cart,200,OK,Thread Group 1-3,text,true,,949,184,3,3,https://example.com/add-to-cart,768,0,25
1788343202540,898,Checkout,200,OK,Thread Group 1-3,text,true,,2972,99,3,3,https://example.com/checkout,629,0,20
1788343202675,274,Logout,200,OK,Thread Group 1-3,text,true,,2755,216,3,3,https://example.com/logout,192,0,30
1788343203000,417,Login,200,OK,Thread Group 1-4,text,true,,1982,184,4,4,https://example.com/login,292,0,17
1788343203135,1329,Search Products,200,OK,Thread Group 1-4,text,true,,2067,173,4,4,https://example.com/search-products,930,0,18
1788343203270,566,View Product,200,OK,Thread Group 1-4,text,true,,2171,101,4,4,https://example.com/view-product,396,0,45
1788343203405,461,Add to Cart,200,OK,Thread Group 1-4,text,true,,1739,86,4,4,https://example.com/add-to-cart,323,0,22
1788343203540,2118,Checkout,200,OK,Thread Group 1-4,text,true,,2137,205,4,4,https://example.com/checkout,1483,0,15
1788343203675,243,Logout,200,OK,Thread Group 1-4,text,true,,997,117,4,4,https://example.com/logout,170,0,41
1788343204000,401,Login,200,OK,Thread Group 1-5,text,true,,1106,102,5,5,https://example.com/login,281,0,30
1788343204135,588,Search Products,200,OK,Thread Group 1-5,text,true,,1843,117,5,5,https://example.com/search-products,412,0,27
1788343204270,1072,View Product,200,OK,Thread Group 1-5,text,true,,1178,177,5,5,https://example.com/view-product,750,0,48
1788343204405,1149,Add to Cart,200,OK,Thread Group 1-5,text,true,,1899,106,5,5,https://example.com/add-to-cart,804,0,50
1788343204540,1065,Checkout,200,OK,Thread Group 1-5,text,true,,2044,188,5,5,https://example.com/checkout,746,0,35
