timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788602400000,353,Login,200,OK,Thread Group 1-1,text,true,,2523,164,1,1,https://example.com/login,247,0,10
1788602400135,1388,Search Products,500,Synthetic server error,Thread Group 1-1,text,false,Synthetic failure,826,181,1,1,https://example.com/search-products,972,0,21
1788602400270,1151,View Product,200,OK,Thread Group 1-1,text,true,,1110,123,1,1,https://example.com/view-product,806,0,44
1788602400405,1439,Add to Cart,200,OK,Thread Group 1-1,text,true,,2982,200,1,1,https://example.com/add-to-cart,1007,0,37
1788602400540,1969,Checkout,500,Synthetic server error,Thread Group 1-1,text,false,Synthetic failure,2787,88,1,1,https://example.com/checkout,1378,0,15
1788602400675,544,Logout,200,OK,Thread Group 1-1,text,true,,2893,134,1,1,https://example.com/logout,381,0,31
1788602401000,651,Login,200,OK,Thread Group 1-2,text,true,,1216,82,2,2,https://example.com/login,456,0,35
1788602401135,937,Search Products,500,Synthetic server error,Thread Group 1-2,text,false,Synthetic failure,2275,163,2,2,https://example.com/search-products,656,0,38
1788602401270,879,View Product,200,OK,Thread Group 1-2,text,true,,1296,200,2,2,https://example.com/view-product,615,0,45
1788602401405,1690,Add to Cart,200,OK,Thread Group 1-2,text,true,,2198,164,2,2,https://example.com/add-to-cart,1183,0,42
1788602401540,1543,Checkout,500,Synthetic server error,Thread Group 1-2,text,false,Synthetic failure,1014,236,2,2,https://example.com/checkout,1080,0,46
1788602401675,294,Logout,200,OK,Thread Group 1-2,text,true,,801,189,2,2,https://example.com/logout,206,0,13
1788602402000,599,Login,200,OK,Thread Group 1-3,text,true,,1164,89,3,3,https://example.com/login,419,0,34
1788602402135,1355,Search Products,500,Synthetic server error,Thread Group 1-3,text,false,Synthetic failure,1824,117,3,3,https://example.com/search-products,948,0,42
1788602402270,803,View Product,200,OK,Thread Group 1-3,text,true,,906,222,3,3,https://example.com/view-product,562,0,31
1788602402405,1188,Add to Cart,200,OK,Thread Group 1-3,text,true,,2254,144,3,3,https://example.com/add-to-cart,832,0,30
1788602402540,1688,Checkout,500,Synthetic server error,Thread Group 1-3,text,false,Synthetic failure,1344,159,3,3,https://example.com/checkout,1182,0,11
1788602402675,245,Logout,200,OK,Thread Group 1-3,text,true,,1380,95,3,3,https://example.com/logout,172,0,19
1788602403000,569,Login,200,OK,Thread Group 1-4,text,true,,2429,136,4,4,https://example.com/login,398,0,50
1788602403135,805,Search Products,200,OK,Thread Group 1-4,text,true,,2459,143,4,4,https://example.com/search-products,564,0,21
1788602403270,1175,View Product,200,OK,Thread Group 1-4,text,true,,2023,230,4,4,https://example.com/view-product,822,0,45
1788602403405,1123,Add to Cart,500,Synthetic server error,Thread Group 1-4,text,false,Synthetic failure,1348,237,4,4,https://example.com/add-to-cart,786,0,46
1788602403540,3005,Checkout,200,OK,Thread Group 1-4,text,true,,2007,216,4,4,https://example.com/checkout,2104,0,48
1788602403675,521,Logout,200,OK,Thread Group 1-4,text,true,,2918,134,4,4,https://example.com/logout,365,0,49
1788602404000,560,Login,200,OK,Thread Group 1-5,text,true,,772,129,5,5,https://example.com/login,392,0,39
1788602404135,1154,Search Products,500,Synthetic server error,Thread Group 1-5,text,false,Synthetic failure,1761,110,5,5,https://example.com/search-products,808,0,24
1788602404270,681,View Product,200,OK,Thread Group 1-5,text,true,,1751,179,5,5,https://example.com/view-product,477,0,37
1788602404405,961,Add to Cart,200,OK,Thread Group 1-5,text,true,,2821,138,5,5,https://example.com/add-to-cart,673,0,30
1788602404540,1343,Checkout,500,Synthetic server error,Thread Group 1-5,text,false,Synthetic failure,2062,82,5,5,https://example.com/checkout,940,0,28
1788602404675,647,Logout,500,Synthetic server error,Thread Group 1-5,text,false,Synthetic failure,1855,122,5,5,https://example.com/logout,453,0,22
1788602405000,546,Login,200,OK,Thread Group 1-6,text,true,,2334,98,6,6,https://example.com/login,382,0,36
1788602405135,1090,Search Products,500,Synthetic server error,Thread Group 1-6,text,false,Synthetic failure,1528,113,6,6,https://example.com/search-products,763,0,16
1788602405270,769,View Product,200,OK,Thread Group 1-6,text,true,,1078,193,6,6,https://example.com/view-product,538,0,26
1788602405405,1330,Add to Cart,200,OK,Thread Group 1-6,text,true,,2435,126,6,6,https://example.com/add-to-cart,931,0,42
1788602405540,1959,Checkout,200,OK,Thread Group 1-6,text,true,,1905,214,6,6,https://example.com/checkout,1371,0,21
1788602405675,569,Logout,500,Synthetic server error,Thread Group 1-6,text,false,Synthetic failure,1855,170,6,6,https://example.com/logout,398,0,45
1788602406000,950,Login,200,OK,Thread Group 1-7,text,true,,1306,197,7,7,https://example.com/login,665,0,28
1788602406135,1447,Search Products,200,OK,Thread Group 1-7,text,true,,1645,200,7,7,https://example.com/search-products,1013,0,49
1788602406270,761,View Product,200,OK,Thread Group 1-7,text,true,,1350,111,7,7,https://example.com/view-product,533,0,42
1788602406405,1880,Add to Cart,500,Synthetic server error,Thread Group 1-7,text,false,Synthetic failure,1090,226,7,7,https://example.com/add-to-cart,1316,0,44
1788602406540,1495,Checkout,200,OK,Thread Group 1-7,text,true,,2212,198,7,7,https://example.com/checkout,1046,0,46
1788602406675,458,Logout,200,OK,Thread Group 1-7,text,true,,2413,147,7,7,https://example.com/logout,321,0,11
1788602407000,677,Login,200,OK,Thread Group 1-8,text,true,,1298,203,8,8,https://example.com/login,474,0,11
1788602407135,1597,Search Products,200,OK,Thread Group 1-8,text,true,,1927,120,8,8,https://example.com/search-products,1118,0,26
1788602407270,1068,View Product,200,OK,Thread Group 1-8,text,true,,2846,104,8,8,https://example.com/view-product,748,0,49
1788602407405,1140,Add to Cart,200,OK,Thread Group 1-8,text,true,,1607,228,8,8,https://example.com/add-to-cart,798,0,15
1788602407540,1242,Checkout,200,OK,Thread Group 1-8,text,true,,2551,201,8,8,https://example.com/checkout,869,0,32
1788602407675,710,Logout,200,OK,Thread Group 1-8,text,true,,1999,181,8,8,https://example.com/logout,497,0,14
1788602408000,901,Login,200,OK,Thread Group 1-9,text,true,,1109,162,9,9,https://example.com/login,631,0,37
1788602408135,1087,Search Products,200,OK,Thread Group 1-9,text,true,,2563,168,9,9,https://example.com/search-products,761,0,34
1788602408270,807,View Product,200,OK,Thread Group 1-9,text,true,,1710,120,9,9,https://example.com/view-product,565,0,43
1788602408405,1175,Add to Cart,200,OK,Thread Group 1-9,text,true,,1365,228,9,9,https://example.com/add-to-cart,822,0,44
1788602408540,1314,Checkout,500,Synthetic server error,Thread Group 1-9,text,false,Synthetic failure,1690,129,9,9,https://example.com/checkout,920,0,26
1788602408675,679,Logout,200,OK,Thread Group 1-9,text,true,,2911,165,9,9,https://example.com/logout,475,0,23
1788602409000,645,Login,200,OK,Thread Group 1-10,text,true,,2021,139,10,10,https://example.com/login,451,0,37
1788602409135,765,Search Products,200,OK,Thread Group 1-10,text,true,,2958,163,10,10,https://example.com/search-products,536,0,20
1788602409270,736,View Product,200,OK,Thread Group 1-10,text,true,,2700,173,10,10,https://example.com/view-product,515,0,41
1788602409405,1140,Add to Cart,200,OK,Thread Group 1-10,text,true,,1857,182,10,10,https://example.com/add-to-cart,798,0,25
1788602409540,3308,Checkout,500,Synthetic server error,Thread Group 1-10,text,false,Synthetic failure,1240,202,10,10,https://example.com/checkout,2316,0,37
1788602409675,416,Logout,200,OK,Thread Group 1-10,text,true,,2035,181,10,10,https://example.com/logout,291,0,20
1788602410000,485,Login,500,Synthetic server error,Thread Group 1-11,text,false,Synthetic failure,2257,114,11,11,https://example.com/login,340,0,38
1788602410135,993,Search Products,200,OK,Thread Group 1-11,text,true,,1041,233,11,11,https://example.com/search-products,695,0,12
1788602410270,921,View Product,200,OK,Thread Group 1-11,text,true,,1401,87,11,11,https://example.com/view-product,645,0,41
1788602410405,1532,Add to Cart,200,OK,Thread Group 1-11,text,true,,1821,126,11,11,https://example.com/add-to-cart,1072,0,43
1788602410540,1363,Checkout,500,Synthetic server error,Thread Group 1-11,text,false,Synthetic failure,2016,199,11,11,https://example.com/checkout,954,0,29
1788602410675,211,Logout,200,OK,Thread Group 1-11,text,true,,1316,181,11,11,https://example.com/logout,148,0,29
1788602411000,1216,Login,200,OK,Thread Group 1-12,text,true,,2857,233,12,12,https://example.com/login,851,0,33
1788602411135,1196,Search Products,200,OK,Thread Group 1-12,text,true,,826,104,12,12,https://example.com/search-products,837,0,20
1788602411270,806,View Product,200,OK,Thread Group 1-12,text,true,,1427,86,12,12,https://example.com/view-product,564,0,44
1788602411405,1221,Add to Cart,200,OK,Thread Group 1-12,text,true,,900,148,12,12,https://example.com/add-to-cart,855,0,36
1788602411540,1856,Checkout,500,Synthetic server error,Thread Group 1-12,text,false,Synthetic failure,2639,174,12,12,https://example.com/checkout,1299,0,16
1788602411675,395,Logout,200,OK,Thread Group 1-12,text,true,,2325,171,12,12,https://example.com/logout,276,0,50
1788602412000,679,Login,200,OK,Thread Group 1-13,text,true,,1528,130,13,13,https://example.com/login,475,0,49
1788602412135,981,Search Products,200,OK,Thread Group 1-13,text,true,,1169,90,13,13,https://example.com/search-products,687,0,39
1788602412270,877,View Product,200,OK,Thread Group 1-13,text,true,,1668,138,13,13,https://example.com/view-product,614,0,25
1788602412405,895,Add to Cart,200,OK,Thread Group 1-13,text,true,,912,226,13,13,https://example.com/add-to-cart,626,0,39
1788602412540,1730,Checkout,500,Synthetic server error,Thread Group 1-13,text,false,Synthetic failure,1671,208,13,13,https://example.com/checkout,1211,0,49
1788602412675,380,Logout,200,OK,Thread Group 1-13,text,true,,1531,196,13,13,https://example.com/logout,266,0,41
1788602413000,1101,Login,500,Synthetic server error,Thread Group 1-14,text,false,Synthetic failure,1729,235,14,14,https://example.com/login,771,0,43
1788602413135,832,Search Products,200,OK,Thread Group 1-14,text,true,,1045,156,14,14,https://example.com/search-products,582,0,20
1788602413270,933,View Product,200,OK,Thread Group 1-14,text,true,,2564,151,14,14,https://example.com/view-product,653,0,29
1788602413405,772,Add to Cart,200,OK,Thread Group 1-14,text,true,,2406,159,14,14,https://example.com/add-to-cart,540,0,42
1788602413540,1663,Checkout,500,Synthetic server error,Thread Group 1-14,text,false,Synthetic failure,2931,166,14,14,https://example.com/checkout,1164,0,36
1788602413675,653,Logout,200,OK,Thread Group 1-14,text,true,,2396,117,14,14,https://example.com/logout,457,0,28
1788602414000,703,Login,200,OK,Thread Group 1-15,text,true,,2710,208,15,15,https://example.com/login,492,0,19
1788602414135,809,Search Products,200,OK,Thread Group 1-15,text,true,,875,87,15,15,https://example.com/search-products,566,0,18
1788602414270,571,View Product,200,OK,Thread Group 1-15,text,true,,869,226,15,15,https://example.com/view-product,400,0,48
1788602414405,1285,Add to Cart,200,OK,Thread Group 1-15,text,true,,792,222,15,15,https://example.com/add-to-cart,899,0,43
1788602414540,1240,Checkout,200,OK,Thread Group 1-15,text,true,,2437,205,15,15,https://example.com/checkout,868,0,25
1788602414675,189,Logout,500,Synthetic server error,Thread Group 1-15,text,false,Synthetic failure,1972,107,15,15,https://example.com/logout,132,0,21
1788602415000,563,Login,200,OK,Thread Group 1-16,text,true,,706,200,16,16,https://example.com/login,394,0,50
1788602415135,1297,Search Products,200,OK,Thread Group 1-16,text,true,,2512,83,16,16,https://example.com/search-products,908,0,25
1788602415270,1217,View Product,200,OK,Thread Group 1-16,text,true,,2057,116,16,16,https://example.com/view-product,852,0,48
1788602415405,1116,Add to Cart,500,Synthetic server error,Thread Group 1-16,text,false,Synthetic failure,2369,137,16,16,https://example.com/add-to-cart,781,0,14
1788602415540,3943,Checkout,200,OK,Thread Group 1-16,text,true,,1913,222,16,16,https://example.com/checkout,2760,0,20
1788602415675,252,Logout,200,OK,Thread Group 1-16,text,true,,2399,211,16,16,https://example.com/logout,176,0,21
1788602416000,695,Login,200,OK,Thread Group 1-17,text,true,,1397,147,17,17,https://example.com/login,486,0,31
1788602416135,1034,Search Products,500,Synthetic server error,Thread Group 1-17,text,false,Synthetic failure,2281,180,17,17,https://example.com/search-products,724,0,12
1788602416270,379,View Product,200,OK,Thread Group 1-17,text,true,,2507,146,17,17,https://example.com/view-product,265,0,36
1788602416405,1135,Add to Cart,200,OK,Thread Group 1-17,text,true,,992,138,17,17,https://example.com/add-to-cart,794,0,29
1788602416540,1776,Checkout,200,OK,Thread Group 1-17,text,true,,2026,180,17,17,https://example.com/checkout,1243,0,50
1788602416675,302,Logout,200,OK,Thread Group 1-17,text,true,,1895,213,17,17,https://example.com/logout,211,0,34
1788602417000,952,Login,200,OK,Thread Group 1-18,text,true,,1004,239,18,18,https://example.com/login,666,0,48
1788602417135,1608,Search Products,200,OK,Thread Group 1-18,text,true,,1056,105,18,18,https://example.com/search-products,1126,0,50
1788602417270,997,View Product,200,OK,Thread Group 1-18,text,true,,1510,215,18,18,https://example.com/view-product,698,0,48
1788602417405,768,Add to Cart,200,OK,Thread Group 1-18,text,true,,1970,144,18,18,https://example.com/add-to-cart,538,0,22
1788602417540,1263,Checkout,500,Synthetic server error,Thread Group 1-18,text,false,Synthetic failure,2607,163,18,18,https://example.com/checkout,884,0,25
1788602417675,708,Logout,200,OK,Thread Group 1-18,text,true,,1730,219,18,18,https://example.com/logout,496,0,14
1788602418000,609,Login,200,OK,Thread Group 1-19,text,true,,1165,228,19,19,https://example.com/login,426,0,34
1788602418135,948,Search Products,200,OK,Thread Group 1-19,text,true,,2283,156,19,19,https://example.com/search-products,664,0,44
1788602418270,1051,View Product,200,OK,Thread Group 1-19,text,true,,2145,198,19,19,https://example.com/view-product,736,0,48
1788602418405,804,Add to Cart,200,OK,Thread Group 1-19,text,true,,947,123,19,19,https://example.com/add-to-cart,563,0,21
1788602418540,1582,Checkout,500,Synthetic server error,Thread Group 1-19,text,false,Synthetic failure,1992,163,19,19,https://example.com/checkout,1107,0,20
1788602418675,299,Logout,200,OK,Thread Group 1-19,text,true,,872,176,19,19,https://example.com/logout,209,0,37
1788602419000,959,Login,200,OK,Thread Group 1-20,text,true,,2970,223,20,20,https://example.com/login,671,0,32
1788602419135,747,Search Products,200,OK,Thread Group 1-20,text,true,,1579,179,20,20,https://example.com/search-products,523,0,32
1788602419270,763,View Product,200,OK,Thread Group 1-20,text,true,,2713,105,20,20,https://example.com/view-product,534,0,33
1788602419405,1362,Add to Cart,200,OK,Thread Group 1-20,text,true,,1881,83,20,20,https://example.com/add-to-cart,953,0,49
1788602419540,1688,Checkout,500,Synthetic server error,Thread Group 1-20,text,false,Synthetic failure,1959,172,20,20,https://example.com/checkout,1182,0,29
1788602419675,289,Logout,200,OK,Thread Group 1-20,text,true,,2044,128,20,20,https://example.com/logout,202,0,49
1788602420000,409,Login,200,OK,Thread Group 1-1,text,true,,704,120,20,20,https://example.com/login,286,0,21
1788602420135,722,Search Products,200,OK,Thread Group 1-1,text,true,,1499,216,20,20,https://example.com/search-products,505,0,36
1788602420270,761,View Product,200,OK,Thread Group 1-1,text,true,,2963,201,20,20,https://example.com/view-product,533,0,32
1788602420405,1230,Add to Cart,200,OK,Thread Group 1-1,text,true,,731,233,20,20,https://example.com/add-to-cart,861,0,24
1788602420540,1299,Checkout,500,Synthetic server error,Thread Group 1-1,text,false,Synthetic failure,1658,198,20,20,https://example.com/checkout,909,0,35
1788602420675,1041,Logout,200,OK,Thread Group 1-1,text,true,,1591,120,20,20,https://example.com/logout,729,0,42
1788602421000,733,Login,200,OK,Thread Group 1-2,text,true,,760,121,20,20,https://example.com/login,513,0,22
1788602421135,759,Search Products,200,OK,Thread Group 1-2,text,true,,1138,170,20,20,https://example.com/search-products,531,0,18
1788602421270,606,View Product,200,OK,Thread Group 1-2,text,true,,1442,199,20,20,https://example.com/view-product,424,0,36
1788602421405,1354,Add to Cart,200,OK,Thread Group 1-2,text,true,,1613,194,20,20,https://example.com/add-to-cart,948,0,27
1788602421540,2186,Checkout,500,Synthetic server error,Thread Group 1-2,text,false,Synthetic failure,1280,182,20,20,https://example.com/checkout,1530,0,45
1788602421675,399,Logout,200,OK,Thread Group 1-2,text,true,,719,114,20,20,https://example.com/logout,279,0,10
1788602422000,685,Login,200,OK,Thread Group 1-3,text,true,,1083,158,20,20,https://example.com/login,479,0,28
1788602422135,1103,Search Products,200,OK,Thread Group 1-3,text,true,,1041,219,20,20,https://example.com/search-products,772,0,47
1788602422270,769,View Product,200,OK,Thread Group 1-3,text,true,,2098,200,20,20,https://example.com/view-product,538,0,14
1788602422405,1356,Add to Cart,200,OK,Thread Group 1-3,text,true,,2897,206,20,20,https://example.com/add-to-cart,949,0,16
1788602422540,2182,Checkout,500,Synthetic server error,Thread Group 1-3,text,false,Synthetic failure,1294,203,20,20,https://example.com/checkout,1527,0,34
1788602422675,279,Logout,500,Synthetic server error,Thread Group 1-3,text,false,Synthetic failure,998,89,20,20,https://example.com/logout,195,0,46
1788602423000,511,Login,200,OK,Thread Group 1-4,text,true,,1583,206,20,20,https://example.com/login,358,0,14
1788602423135,604,Search Products,200,OK,Thread Group 1-4,text,true,,902,221,20,20,https://example.com/search-products,423,0,35
1788602423270,1024,View Product,200,OK,Thread Group 1-4,text,true,,1104,158,20,20,https://example.com/view-product,717,0,22
1788602423405,1087,Add to Cart,200,OK,Thread Group 1-4,text,true,,1124,132,20,20,https://example.com/add-to-cart,761,0,24
1788602423540,1616,Checkout,500,Synthetic server error,Thread Group 1-4,text,false,Synthetic failure,1059,239,20,20,https://example.com/checkout,1131,0,13
1788602423675,498,Logout,200,OK,Thread Group 1-4,text,true,,1783,217,20,20,https://example.com/logout,349,0,12
1788602424000,602,Login,200,OK,Thread Group 1-5,text,true,,2487,120,20,20,https://example.com/login,421,0,41
1788602424135,2182,Search Products,200,OK,Thread Group 1-5,text,true,,1708,147,20,20,https://example.com/search-products,1527,0,42
1788602424270,614,View Product,200,OK,Thread Group 1-5,text,true,,2843,96,20,20,https://example.com/view-product,430,0,15
1788602424405,1198,Add to Cart,200,OK,Thread Group 1-5,text,true,,939,225,20,20,https://example.com/add-to-cart,839,0,45
1788602424540,2493,Checkout,200,OK,Thread Group 1-5,text,true,,1834,108,20,20,https://example.com/checkout,1745,0,29
1788602424675,353,Logout,500,Synthetic server error,Thread Group 1-5,text,false,Synthetic failure,1509,207,20,20,https://example.com/logout,247,0,14
1788602425000,933,Login,500,Synthetic server error,Thread Group 1-6,text,false,Synthetic failure,2418,186,20,20,https://example.com/login,653,0,25
1788602425135,1078,Search Products,200,OK,Thread Group 1-6,text,true,,1909,117,20,20,https://example.com/search-products,755,0,12
1788602425270,915,View Product,200,OK,Thread Group 1-6,text,true,,2817,215,20,20,https://example.com/view-product,640,0,34
1788602425405,987,Add to Cart,200,OK,Thread Group 1-6,text,true,,1360,191,20,20,https://example.com/add-to-cart,691,0,31
1788602425540,1829,Checkout,500,Synthetic server error,Thread Group 1-6,text,false,Synthetic failure,1421,223,20,20,https://example.com/checkout,1280,0,27
1788602425675,441,Logout,200,OK,Thread Group 1-6,text,true,,1220,97,20,20,https://example.com/logout,309,0,25
1788602426000,445,Login,200,OK,Thread Group 1-7,text,true,,1860,231,20,20,https://example.com/login,312,0,15
1788602426135,1012,Search Products,200,OK,Thread Group 1-7,text,true,,2763,185,20,20,https://example.com/search-products,708,0,34
1788602426270,1349,View Product,200,OK,Thread Group 1-7,text,true,,946,146,20,20,https://example.com/view-product,944,0,45
1788602426405,923,Add to Cart,200,OK,Thread Group 1-7,text,true,,2460,100,20,20,https://example.com/add-to-cart,646,0,39
1788602426540,1922,Checkout,200,OK,Thread Group 1-7,text,true,,2583,131,20,20,https://example.com/checkout,1345,0,38
1788602426675,383,Logout,500,Synthetic server error,Thread Group 1-7,text,false,Synthetic failure,2055,218,20,20,https://example.com/logout,268,0,40
1788602427000,994,Login,500,Synthetic server error,Thread Group 1-8,text,false,Synthetic failure,1598,157,20,20,https://example.com/login,696,0,11
1788602427135,1431,Search Products,200,OK,Thread Group 1-8,text,true,,1142,105,20,20,https://example.com/search-products,1002,0,47
1788602427270,830,View Product,200,OK,Thread Group 1-8,text,true,,1335,125,20,20,https://example.com/view-product,581,0,16
1788602427405,1310,Add to Cart,200,OK,Thread Group 1-8,text,true,,2936,83,20,20,https://example.com/add-to-cart,917,0,47
1788602427540,1463,Checkout,200,OK,Thread Group 1-8,text,true,,1214,121,20,20,https://example.com/checkout,1024,0,11
1788602427675,586,Logout,200,OK,Thread Group 1-8,text,true,,2907,142,20,20,https://example.com/logout,410,0,48
1788602428000,535,Login,200,OK,Thread Group 1-9,text,true,,1033,218,20,20,https://example.com/login,374,0,23
1788602428135,1086,Search Products,500,Synthetic server error,Thread Group 1-9,text,false,Synthetic failure,2155,190,20,20,https://example.com/search-products,760,0,40
1788602428270,788,View Product,200,OK,Thread Group 1-9,text,true,,960,216,20,20,https://example.com/view-product,552,0,14
1788602428405,2267,Add to Cart,200,OK,Thread Group 1-9,text,true,,982,217,20,20,https://example.com/add-to-cart,1587,0,27
1788602428540,1925,Checkout,500,Synthetic server error,Thread Group 1-9,text,false,Synthetic failure,2379,202,20,20,https://example.com/checkout,1348,0,26
1788602428675,224,Logout,200,OK,Thread Group 1-9,text,true,,2335,143,20,20,https://example.com/logout,157,0,48
1788602429000,804,Login,200,OK,Thread Group 1-10,text,true,,1413,100,20,20,https://example.com/login,563,0,44
1788602429135,1164,Search Products,500,Synthetic server error,Thread Group 1-10,text,false,Synthetic failure,779,200,20,20,https://example.com/search-products,815,0,50
1788602429270,1014,View Product,500,Synthetic server error,Thread Group 1-10,text,false,Synthetic failure,1170,159,20,20,https://example.com/view-product,710,0,47
1788602429405,607,Add to Cart,200,OK,Thread Group 1-10,text,true,,1192,114,20,20,https://example.com/add-to-cart,425,0,40
1788602429540,1803,Checkout,200,OK,Thread Group 1-10,text,true,,1364,231,20,20,https://example.com/checkout,1262,0,36
1788602429675,573,Logout,200,OK,Thread Group 1-10,text,true,,2741,198,20,20,https://example.com/logout,401,0,26
1788602430000,724,Login,200,OK,Thread Group 1-11,text,true,,1402,210,20,20,https://example.com/login,507,0,13
1788602430135,1351,Search Products,200,OK,Thread Group 1-11,text,true,,2566,99,20,20,https://example.com/search-products,946,0,46
1788602430270,1092,View Product,200,OK,Thread Group 1-11,text,true,,1256,231,20,20,https://example.com/view-product,764,0,12
1788602430405,1007,Add to Cart,200,OK,Thread Group 1-11,text,true,,2101,153,20,20,https://example.com/add-to-cart,705,0,13
1788602430540,2322,Checkout,200,OK,Thread Group 1-11,text,true,,743,138,20,20,https://example.com/checkout,1625,0,34
1788602430675,394,Logout,200,OK,Thread Group 1-11,text,true,,1335,125,20,20,https://example.com/logout,276,0,13
1788602431000,664,Login,200,OK,Thread Group 1-12,text,true,,2590,104,20,20,https://example.com/login,465,0,43
1788602431135,1299,Search Products,200,OK,Thread Group 1-12,text,true,,1436,92,20,20,https://example.com/search-products,909,0,30
1788602431270,1497,View Product,500,Synthetic server error,Thread Group 1-12,text,false,Synthetic failure,2083,210,20,20,https://example.com/view-product,1048,0,44
1788602431405,1318,Add to Cart,200,OK,Thread Group 1-12,text,true,,2422,191,20,20,https://example.com/add-to-cart,923,0,11
1788602431540,1229,Checkout,200,OK,Thread Group 1-12,text,true,,1039,133,20,20,https://example.com/checkout,860,0,49
1788602431675,557,Logout,200,OK,Thread Group 1-12,text,true,,1991,150,20,20,https://example.com/logout,390,0,32
1788602432000,884,Login,500,Synthetic server error,Thread Group 1-13,text,false,Synthetic failure,2015,216,20,20,https://example.com/login,619,0,26
1788602432135,772,Search Products,200,OK,Thread Group 1-13,text,true,,1519,83,20,20,https://example.com/search-products,540,0,22
1788602432270,860,View Product,200,OK,Thread Group 1-13,text,true,,1204,192,20,20,https://example.com/view-product,602,0,37
1788602432405,901,Add to Cart,500,Synthetic server error,Thread Group 1-13,text,false,Synthetic failure,1334,190,20,20,https://example.com/add-to-cart,631,0,49
1788602432540,1880,Checkout,200,OK,Thread Group 1-13,text,true,,1906,132,20,20,https://example.com/checkout,1316,0,11
1788602432675,390,Logout,200,OK,Thread Group 1-13,text,true,,2721,208,20,20,https://example.com/logout,273,0,20
1788602433000,875,Login,200,OK,Thread Group 1-14,text,true,,757,109,20,20,https://example.com/login,612,0,47
1788602433135,1133,Search Products,200,OK,Thread Group 1-14,text,true,,1984,217,20,20,https://example.com/search-products,793,0,40
1788602433270,520,View Product,200,OK,Thread Group 1-14,text,true,,1924,95,20,20,https://example.com/view-product,364,0,18
1788602433405,1028,Add to Cart,200,OK,Thread Group 1-14,text,true,,1667,104,20,20,https://example.com/add-to-cart,720,0,13
1788602433540,1467,Checkout,200,OK,Thread Group 1-14,text,true,,1527,226,20,20,https://example.com/checkout,1027,0,26
1788602433675,291,Logout,200,OK,Thread Group 1-14,text,true,,1476,107,20,20,https://example.com/logout,204,0,35
1788602434000,602,Login,200,OK,Thread Group 1-15,text,true,,1368,151,20,20,https://example.com/login,421,0,32
1788602434135,977,Search Products,200,OK,Thread Group 1-15,text,true,,2629,206,20,20,https://example.com/search-products,684,0,31
1788602434270,315,View Product,200,OK,Thread Group 1-15,text,true,,1069,238,20,20,https://example.com/view-product,220,0,22
1788602434405,1280,Add to Cart,200,OK,Thread Group 1-15,text,true,,2588,126,20,20,https://example.com/add-to-cart,896,0,26
1788602434540,1301,Checkout,200,OK,Thread Group 1-15,text,true,,1820,208,20,20,https://example.com/checkout,911,0,41
1788602434675,535,Logout,200,OK,Thread Group 1-15,text,true,,2375,113,20,20,https://example.com/logout,374,0,15
1788602435000,612,Login,200,OK,Thread Group 1-16,text,true,,1766,139,20,20,https://example.com/login,428,0,49
1788602435135,768,Search Products,200,OK,Thread Group 1-16,text,true,,2478,110,20,20,https://example.com/search-products,538,0,19
1788602435270,1298,View Product,200,OK,Thread Group 1-16,text,true,,2328,95,20,20,https://example.com/view-product,909,0,14
1788602435405,1414,Add to Cart,500,Synthetic server error,Thread Group 1-16,text,false,Synthetic failure,2975,145,20,20,https://example.com/add-to-cart,990,0,14
1788602435540,2723,Checkout,200,OK,Thread Group 1-16,text,true,,1921,116,20,20,https://example.com/checkout,1906,0,38
1788602435675,248,Logout,200,OK,Thread Group 1-16,text,true,,2193,186,20,20,https://example.com/logout,174,0,40
1788602436000,736,Login,200,OK,Thread Group 1-17,text,true,,744,236,20,20,https://example.com/login,515,0,29
1788602436135,1217,Search Products,200,OK,Thread Group 1-17,text,true,,2567,127,20,20,https://example.com/search-products,852,0,32
1788602436270,1351,View Product,200,OK,Thread Group 1-17,text,true,,2936,131,20,20,https://example.com/view-product,946,0,27
1788602436405,861,Add to Cart,200,OK,Thread Group 1-17,text,true,,2503,107,20,20,https://example.com/add-to-cart,603,0,24
1788602436540,941,Checkout,200,OK,Thread Group 1-17,text,true,,1833,136,20,20,https://example.com/checkout,659,0,16
