timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788861600000,911,Login,200,OK,Thread Group 1-1,text,true,,1934,180,1,1,https://example.com/login,638,0,42
1788861600135,4778,Search Products,500,Synthetic server error,Thread Group 1-1,text,false,Synthetic failure,830,90,1,1,https://example.com/search-products,3345,0,49
1788861600270,2145,View Product,200,OK,Thread Group 1-1,text,true,,970,87,1,1,https://example.com/view-product,1502,0,23
1788861600405,2428,Add to Cart,200,OK,Thread Group 1-1,text,true,,1952,157,1,1,https://example.com/add-to-cart,1700,0,45
1788861600540,5243,Checkout,500,Synthetic server error,Thread Group 1-1,text,false,Synthetic failure,2890,114,1,1,https://example.com/checkout,3670,0,24
1788861600675,2814,Logout,200,OK,Thread Group 1-1,text,true,,933,178,1,1,https://example.com/logout,1970,0,29
1788861601000,693,Login,200,OK,Thread Group 1-2,text,true,,856,175,2,2,https://example.com/login,485,0,44
1788861601135,2229,Search Products,500,Synthetic server error,Thread Group 1-2,text,false,Synthetic failure,1042,236,2,2,https://example.com/search-products,1560,0,49
1788861601270,1342,View Product,500,Synthetic server error,Thread Group 1-2,text,false,Synthetic failure,1269,131,2,2,https://example.com/view-product,939,0,22
1788861601405,3091,Add to Cart,200,OK,Thread Group 1-2,text,true,,2452,228,2,2,https://example.com/add-to-cart,2164,0,36
1788861601540,2619,Checkout,200,OK,Thread Group 1-2,text,true,,2036,172,2,2,https://example.com/checkout,1833,0,20
1788861601675,1142,Logout,200,OK,Thread Group 1-2,text,true,,1855,103,2,2,https://example.com/logout,799,0,12
1788861602000,2541,Login,200,OK,Thread Group 1-3,text,true,,1610,135,3,3,https://example.com/login,1779,0,31
1788861602135,1471,Search Products,200,OK,Thread Group 1-3,text,true,,1625,81,3,3,https://example.com/search-products,1030,0,20
1788861602270,1854,View Product,200,OK,Thread Group 1-3,text,true,,2303,177,3,3,https://example.com/view-product,1298,0,41
1788861602405,2821,Add to Cart,200,OK,Thread Group 1-3,text,true,,1153,87,3,3,https://example.com/add-to-cart,1975,0,31
1788861602540,3354,Checkout,500,Synthetic server error,Thread Group 1-3,text,false,Synthetic failure,867,148,3,3,https://example.com/checkout,2348,0,50
1788861602675,1059,Logout,500,Synthetic server error,Thread Group 1-3,text,false,Synthetic failure,2992,118,3,3,https://example.com/logout,741,0,16
1788861603000,868,Login,200,OK,Thread Group 1-4,text,true,,1124,205,4,4,https://example.com/login,608,0,41
1788861603135,2295,Search Products,200,OK,Thread Group 1-4,text,true,,2743,184,4,4,https://example.com/search-products,1606,0,28
1788861603270,1864,View Product,200,OK,Thread Group 1-4,text,true,,1209,156,4,4,https://example.com/view-product,1305,0,27
1788861603405,1509,Add to Cart,200,OK,Thread Group 1-4,text,true,,852,218,4,4,https://example.com/add-to-cart,1056,0,35
1788861603540,4747,Checkout,500,Synthetic server error,Thread Group 1-4,text,false,Synthetic failure,2586,240,4,4,https://example.com/checkout,3323,0,19
1788861603675,825,Logout,200,OK,Thread Group 1-4,text,true,,1315,194,4,4,https://example.com/logout,578,0,15
1788861604000,1425,Login,200,OK,Thread Group 1-5,text,true,,1227,85,5,5,https://example.com/login,997,0,25
1788861604135,1596,Search Products,200,OK,Thread Group 1-5,text,true,,1914,228,5,5,https://example.com/search-products,1117,0,13
1788861604270,1396,View Product,200,OK,Thread Group 1-5,text,true,,2068,161,5,5,https://example.com/view-product,977,0,23
1788861604405,2298,Add to Cart,200,OK,Thread Group 1-5,text,true,,2257,92,5,5,https://example.com/add-to-cart,1609,0,32
1788861604540,3398,Checkout,200,OK,Thread Group 1-5,text,true,,2377,193,5,5,https://example.com/checkout,2379,0,20
1788861604675,1615,Logout,200,OK,Thread Group 1-5,text,true,,855,230,5,5,https://example.com/logout,1130,0,36
1788861605000,1201,Login,500,Synthetic server error,Thread Group 1-6,text,false,Synthetic failure,2725,164,6,6,https://example.com/login,841,0,21
1788861605135,3171,Search Products,200,OK,Thread Group 1-6,text,true,,852,229,6,6,https://example.com/search-products,2220,0,23
1788861605270,3294,View Product,200,OK,Thread Group 1-6,text,true,,1517,216,6,6,https://example.com/view-product,2306,0,35
1788861605405,2632,Add to Cart,200,OK,Thread Group 1-6,text,true,,742,191,6,6,https://example.com/add-to-cart,1842,0,33
1788861605540,1931,Checkout,500,Synthetic server error,Thread Group 1-6,text,false,Synthetic failure,2825,182,6,6,https://example.com/checkout,1352,0,18
1788861605675,1086,Logout,200,OK,Thread Group 1-6,text,true,,2693,223,6,6,https://example.com/logout,760,0,34
1788861606000,1689,Login,200,OK,Thread Group 1-7,text,true,,2600,102,7,7,https://example.com/login,1182,0,25
1788861606135,2742,Search Products,200,OK,Thread Group 1-7,text,true,,1629,199,7,7,https://example.com/search-products,1919,0,24
1788861606270,2462,View Product,500,Synthetic server error,Thread Group 1-7,text,false,Synthetic failure,2144,179,7,7,https://example.com/view-product,1723,0,45
1788861606405,2802,Add to Cart,200,OK,Thread Group 1-7,text,true,,1971,94,7,7,https://example.com/add-to-cart,1961,0,28
1788861606540,6755,Checkout,200,OK,Thread Group 1-7,text,true,,1729,214,7,7,https://example.com/checkout,4728,0,10
1788861606675,965,Logout,200,OK,Thread Group 1-7,text,true,,2680,160,7,7,https://example.com/logout,676,0,28
1788861607000,1034,Login,200,OK,Thread Group 1-8,text,true,,1260,161,8,8,https://example.com/login,724,0,19
1788861607135,1974,Search Products,200,OK,Thread Group 1-8,text,true,,2041,81,8,8,https://example.com/search-products,1382,0,27
1788861607270,1709,View Product,500,Synthetic server error,Thread Group 1-8,text,false,Synthetic failure,2106,160,8,8,https://example.com/view-product,1196,0,12
1788861607405,1887,Add to Cart,500,Synthetic server error,Thread Group 1-8,text,false,Synthetic failure,1308,219,8,8,https://example.com/add-to-cart,1321,0,33
1788861607540,4719,Checkout,500,Synthetic server error,Thread Group 1-8,text,false,Synthetic failure,2151,183,8,8,https://example.com/checkout,3303,0,43
1788861607675,756,Logout,500,Synthetic server error,Thread Group 1-8,text,false,Synthetic failure,2634,221,8,8,https://example.com/logout,529,0,39
1788861608000,1151,Login,200,OK,Thread Group 1-9,text,true,,2600,189,9,9,https://example.com/login,806,0,33
1788861608135,1787,Search Products,200,OK,Thread Group 1-9,text,true,,2911,99,9,9,https://example.com/search-products,1251,0,37
1788861608270,2744,View Product,200,OK,Thread Group 1-9,text,true,,2486,230,9,9,https://example.com/view-product,1921,0,36
1788861608405,1733,Add to Cart,500,Synthetic server error,Thread Group 1-9,text,false,Synthetic failure,999,182,9,9,https://example.com/add-to-cart,1213,0,23
1788861608540,2487,Checkout,200,OK,Thread Group 1-9,text,true,,1028,97,9,9,https://example.com/checkout,1741,0,47
1788861608675,1001,Logout,200,OK,Thread Group 1-9,text,true,,2946,157,9,9,https://example.com/logout,701,0,47
1788861609000,1065,Login,200,OK,Thread Group 1-10,text,true,,2084,223,10,10,https://example.com/login,746,0,31
1788861609135,2235,Search Products,200,OK,Thread Group 1-10,text,true,,2973,108,10,10,https://example.com/search-products,1564,0,12
1788861609270,1614,View Product,200,OK,Thread Group 1-10,text,true,,1504,107,10,10,https://example.com/view-product,1130,0,27
1788861609405,2853,Add to Cart,500,Synthetic server error,Thread Group 1-10,text,false,Synthetic failure,1502,129,10,10,https://example.com/add-to-cart,1997,0,28
1788861609540,3266,Checkout,500,Synthetic server error,Thread Group 1-10,text,false,Synthetic failure,2220,99,10,10,https://example.com/checkout,2286,0,38
1788861609675,1090,Logout,200,OK,Thread Group 1-10,text,true,,2195,239,10,10,https://example.com/logout,763,0,37
1788861610000,1186,Login,500,Synthetic server error,Thread Group 1-11,text,false,Synthetic failure,813,111,11,11,https://example.com/login,830,0,24
1788861610135,3853,Search Products,200,OK,Thread Group 1-11,text,true,,2552,123,11,11,https://example.com/search-products,2697,0,16
1788861610270,2760,View Product,200,OK,Thread Group 1-11,text,true,,943,165,11,11,https://example.com/view-product,1932,0,49
1788861610405,2265,Add to Cart,200,OK,Thread Group 1-11,text,true,,2439,80,11,11,https://example.com/add-to-cart,1586,0,31
